TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 4.291290760E+000 6.360083103E+000
 -2.955148816E-001 -1.003156006E-001 4.114362240E+000 6.276729107E+000
 -2.901934385E-001 -1.003156006E-001 3.956139088E+000 6.178380966E+000
 -2.848719656E-001 -1.003156006E-001 3.793642282E+000 6.074553013E+000
 -2.795505226E-001 -1.003156006E-001 3.626698017E+000 5.949457169E+000
 -2.742290497E-001 -1.003156006E-001 3.460733175E+000 5.801126480E+000
 -2.689076066E-001 -1.003156006E-001 3.286643028E+000 5.641151905E+000
 -2.635861337E-001 -1.003156006E-001 3.150775671E+000 5.476609707E+000
 -2.582646906E-001 -1.003156006E-001 3.025990725E+000 5.289473534E+000
 -2.529432178E-001 -1.003156006E-001 2.904028416E+000 5.088637829E+000
 -2.476217598E-001 -1.003156006E-001 2.782196522E+000 4.873363018E+000
 -2.423003018E-001 -1.003156006E-001 2.696442127E+000 4.656387806E+000
 -2.369788438E-001 -1.003156006E-001 2.635137081E+000 4.434441090E+000
 -2.316573858E-001 -1.003156006E-001 2.575809002E+000 4.197644234E+000
 -2.263359278E-001 -1.003156006E-001 2.533246517E+000 3.954811811E+000
 -2.210144699E-001 -1.003156006E-001 2.529817820E+000 3.729697943E+000
 -2.156930119E-001 -1.003156006E-001 2.530257702E+000 3.496961594E+000
 -2.103715539E-001 -1.003156006E-001 2.542388439E+000 3.255313158E+000
 -2.050500959E-001 -1.003156006E-001 2.587442636E+000 3.048475742E+000
 -1.997286379E-001 -1.003156006E-001 2.636657476E+000 2.836694002E+000
 -1.944071800E-001 -1.003156006E-001 2.697478294E+000 2.619417191E+000
 -1.890857220E-001 -1.003156006E-001 2.774631739E+000 2.438311815E+000
 -1.837642640E-001 -1.003156006E-001 2.864353418E+000 2.258761883E+000
 -1.784428060E-001 -1.003156006E-001 2.954423428E+000 2.077676296E+000
 -1.731213480E-001 -1.003156006E-001 3.058282852E+000 1.924990058E+000
 -1.677998900E-001 -1.003156006E-001 3.160013199E+000 1.780116558E+000
 -1.624784321E-001 -1.003156006E-001 3.269902706E+000 1.634713054E+000
 -1.571569741E-001 -1.003156006E-001 3.379400015E+000 1.510844827E+000
 -1.518355161E-001 -1.003156006E-001 3.493114710E+000 1.399535060E+000
 -1.465140581E-001 -1.003156006E-001 3.608580351E+000 1.288405418E+000
 -1.411926001E-001 -1.003156006E-001 3.723536968E+000 1.186058283E+000
 -1.358711421E-001 -1.003156006E-001 3.835745573E+000 1.102585077E+000
 -1.305496842E-001 -1.003156006E-001 3.947953939E+000 1.019111991E+000
 -1.252282262E-001 -1.003156006E-001 4.063817501E+000 9.368072748E-001
 -1.199067682E-001 -1.003156006E-001 4.172654152E+000 8.728490472E-001
 -1.145853102E-001 -1.003156006E-001 4.279801369E+000 8.135571480E-001
 -1.092638522E-001 -1.003156006E-001 4.388984680E+000 7.552548647E-001
 -1.039423943E-001 -1.003156006E-001 4.496866226E+000 6.975510716E-001
 -9.862093627E-002 -1.003156006E-001 4.594984055E+000 6.567363739E-001
 -9.329947084E-002 -1.003156006E-001 4.694877148E+000 6.170984507E-001
 -8.797801286E-002 -1.003156006E-001 4.794769764E+000 5.774605870E-001
 -8.265655488E-002 -1.003156006E-001 4.894223213E+000 5.387991071E-001
 -7.733509690E-002 -1.003156006E-001 4.983753681E+000 5.129281878E-001
 -7.201363891E-002 -1.003156006E-001 5.073230743E+000 4.870061576E-001
 -6.669218093E-002 -1.003156006E-001 5.162707806E+000 4.610841274E-001
 -6.137072667E-002 -1.003156006E-001 5.253285408E+000 4.362098873E-001
 -5.604926869E-002 -1.003156006E-001 5.335099697E+000 4.196597338E-001
 -5.072781071E-002 -1.003156006E-001 5.414868832E+000 4.047713280E-001
 -4.540634900E-002 -1.003156006E-001 5.494294643E+000 3.894759417E-001
 -4.008489102E-002 -1.003156006E-001 5.574466228E+000 3.750651181E-001
 -3.476343304E-002 -1.003156006E-001 5.651410103E+000 3.629595935E-001
 -2.944197692E-002 -1.003156006E-001 5.721565723E+000 3.557031155E-001
 -2.412051894E-002 -1.003156006E-001 5.791887283E+000 3.486925364E-001
 -1.879905909E-002 -1.003156006E-001 5.862431526E+000 3.420124650E-001
 -1.347760204E-002 -1.003156006E-001 5.932741165E+000 3.349846900E-001
 -8.156144060E-003 -1.003156006E-001 5.997999191E+000 3.308602870E-001
 -2.834685380E-003 -1.003156006E-001 6.059468746E+000 3.289128840E-001
 2.486772602E-003 -1.003156006E-001 6.121302128E+000 3.276340067E-001
 7.808230817E-003 -1.003156006E-001 6.183136940E+000 3.263574541E-001
 1.312968880E-002 -1.003156006E-001 6.244670391E+000 3.245272040E-001
 1.845114678E-002 -1.003156006E-001 6.301792145E+000 3.247527182E-001
