TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 4.480629921E+000 3.909405947E+000
 -2.955148816E-001 -1.003156006E-001 4.409330845E+000 3.814067602E+000
 -2.901934385E-001 -1.003156006E-001 4.350897789E+000 3.715455532E+000
 -2.848719656E-001 -1.003156006E-001 4.291669369E+000 3.612987041E+000
 -2.795505226E-001 -1.003156006E-001 4.233946800E+000 3.498728991E+000
 -2.742290497E-001 -1.003156006E-001 4.180809021E+000 3.373026848E+000
 -2.689076066E-001 -1.003156006E-001 4.125494957E+000 3.239425898E+000
 -2.635861337E-001 -1.003156006E-001 4.090657234E+000 3.109346867E+000
 -2.582646906E-001 -1.003156006E-001 4.066119194E+000 2.969358444E+000
 -2.529432178E-001 -1.003156006E-001 4.045303345E+000 2.822750568E+000
 -2.476217598E-001 -1.003156006E-001 4.027098179E+000 2.667843342E+000
 -2.423003018E-001 -1.003156006E-001 4.028372288E+000 2.517406225E+000
 -2.369788438E-001 -1.003156006E-001 4.044427872E+000 2.368295193E+000
 -2.316573858E-001 -1.003156006E-001 4.064057827E+000 2.211345911E+000
 -2.263359278E-001 -1.003156006E-001 4.093617439E+000 2.053221941E+000
 -2.210144699E-001 -1.003156006E-001 4.143029213E+000 1.911643386E+000
 -2.156930119E-001 -1.003156006E-001 4.195878029E+000 1.766508698E+000
 -2.103715539E-001 -1.003156006E-001 4.256535530E+000 1.618140936E+000
 -2.050500959E-001 -1.003156006E-001 4.331043720E+000 1.493714809E+000
 -1.997286379E-001 -1.003156006E-001 4.408699989E+000 1.367720008E+000
 -1.944071800E-001 -1.003156006E-001 4.494017124E+000 1.240036964E+000
 -1.890857220E-001 -1.003156006E-001 4.583924770E+000 1.135246634E+000
 -1.837642640E-001 -1.003156006E-001 4.680939198E+000 1.033318281E+000
 -1.784428060E-001 -1.003156006E-001 4.778500557E+000 9.303753972E-001
 -1.731213480E-001 -1.003156006E-001 4.881023884E+000 8.461793065E-001
 -1.677998900E-001 -1.003156006E-001 4.981556892E+000 7.668151259E-001
 -1.624784321E-001 -1.003156006E-001 5.087072372E+000 6.880947948E-001
 -1.571569741E-001 -1.003156006E-001 5.189700603E+000 6.223967671E-001
 -1.518355161E-001 -1.003156006E-001 5.293546677E+000 5.652298927E-001
 -1.465140581E-001 -1.003156006E-001 5.398373127E+000 5.083420277E-001
 -1.411926001E-001 -1.003156006E-001 5.502182484E+000 4.568180740E-001
 -1.358711421E-001 -1.003156006E-001 5.601676464E+000 4.171833992E-001
 -1.305496842E-001 -1.003156006E-001 5.701170921E+000 3.775486946E-001
 -1.252282262E-001 -1.003156006E-001 5.802962780E+000 3.391172588E-001
 -1.199067682E-001 -1.003156006E-001 5.898214340E+000 3.116115332E-001
 -1.145853102E-001 -1.003156006E-001 5.991814613E+000 2.871265709E-001
 -1.092638522E-001 -1.003156006E-001 6.086667061E+000 2.635212541E-001
 -1.039423943E-001 -1.003156006E-001 6.180616379E+000 2.400061488E-001
 -9.862093627E-002 -1.003156006E-001 6.266287327E+000 2.267888337E-001
 -9.329947084E-002 -1.003156006E-001 6.352985382E+000 2.145074308E-001
 -8.797801286E-002 -1.003156006E-001 6.439682961E+000 2.022260427E-001
 -8.265655488E-002 -1.003156006E-001 6.526124001E+000 1.904883683E-001
 -7.733509690E-002 -1.003156006E-001 6.604476929E+000 1.864830106E-001
 -7.201363891E-002 -1.003156006E-001 6.682764053E+000 1.823945940E-001
 -6.669218093E-002 -1.003156006E-001 6.761051178E+000 1.783061773E-001
 -6.137072667E-002 -1.003156006E-001 6.839999676E+000 1.750510782E-001
 -5.604926869E-002 -1.003156006E-001 6.912251472E+000 1.765982807E-001
 -5.072781071E-002 -1.003156006E-001 6.982877731E+000 1.791769117E-001
 -4.540634900E-002 -1.003156006E-001 7.053290844E+000 1.814244539E-001
 -4.008489102E-002 -1.003156006E-001 7.124133587E+000 1.843392402E-001
 -3.476343304E-002 -1.003156006E-001 7.192591190E+000 1.885505468E-001
 -2.944197692E-002 -1.003156006E-001 7.255786419E+000 1.956222355E-001
 -2.412051894E-002 -1.003156006E-001 7.319077969E+000 2.028844357E-001
 -1.879905909E-002 -1.003156006E-001 7.382501602E+000 2.104082555E-001
 -1.347760204E-002 -1.003156006E-001 7.445783615E+000 2.176513523E-001
 -8.156144060E-003 -1.003156006E-001 7.505284786E+000 2.264746875E-001
 -2.834685380E-003 -1.003156006E-001 7.561830521E+000 2.365334779E-001
 2.486772602E-003 -1.003156006E-001 7.618571758E+000 2.470922917E-001
 7.808230817E-003 -1.003156006E-001 7.675315857E+000 2.576569021E-001
 1.312968880E-002 -1.003156006E-001 7.731895447E+000 2.678031623E-001
 1.845114678E-002 -1.003156006E-001 7.785235882E+000 2.789934874E-001
