TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 4.649689674E+000 4.010438442E+000
 -2.955148816E-001 -1.003156006E-001 4.570524693E+000 3.916647196E+000
 -2.901934385E-001 -1.003156006E-001 4.504799366E+000 3.818753004E+000
 -2.848719656E-001 -1.003156006E-001 4.438093185E+000 3.716761112E+000
 -2.795505226E-001 -1.003156006E-001 4.372387886E+000 3.602146387E+000
 -2.742290497E-001 -1.003156006E-001 4.311013699E+000 3.475213528E+000
 -2.689076066E-001 -1.003156006E-001 4.247039318E+000 3.339903355E+000
 -2.635861337E-001 -1.003156006E-001 4.204813004E+000 3.207589626E+000
 -2.582646906E-001 -1.003156006E-001 4.173152447E+000 3.064582825E+000
 -2.529432178E-001 -1.003156006E-001 4.145144939E+000 2.914522171E+000
 -2.476217598E-001 -1.003156006E-001 4.119612694E+000 2.755540371E+000
 -2.423003018E-001 -1.003156006E-001 4.114985943E+000 2.600555182E+000
 -2.369788438E-001 -1.003156006E-001 4.126270294E+000 2.446548223E+000
 -2.316573858E-001 -1.003156006E-001 4.141138077E+000 2.284188509E+000
 -2.263359278E-001 -1.003156006E-001 4.166337013E+000 2.120226383E+000
 -2.210144699E-001 -1.003156006E-001 4.212775707E+000 1.973338366E+000
 -2.156930119E-001 -1.003156006E-001 4.262748718E+000 1.822671771E+000
 -2.103715539E-001 -1.003156006E-001 4.320810795E+000 1.668446541E+000
 -2.050500959E-001 -1.003156006E-001 4.394096375E+000 1.538927913E+000
 -1.997286379E-001 -1.003156006E-001 4.470666409E+000 1.407744765E+000
 -1.944071800E-001 -1.003156006E-001 4.555271149E+000 1.274667501E+000
 -1.890857220E-001 -1.003156006E-001 4.645036221E+000 1.165535569E+000
 -1.837642640E-001 -1.003156006E-001 4.742341518E+000 1.059398293E+000
 -1.784428060E-001 -1.003156006E-001 4.840221405E+000 9.521741271E-001
 -1.731213480E-001 -1.003156006E-001 4.943466187E+000 8.644889593E-001
 -1.677998900E-001 -1.003156006E-001 5.044696331E+000 7.819377184E-001
 -1.624784321E-001 -1.003156006E-001 5.151151180E+000 7.000091672E-001
 -1.571569741E-001 -1.003156006E-001 5.254684925E+000 6.316573620E-001
 -1.518355161E-001 -1.003156006E-001 5.359572411E+000 5.722458363E-001
 -1.465140581E-001 -1.003156006E-001 5.465471745E+000 5.131133795E-001
 -1.411926001E-001 -1.003156006E-001 5.570390224E+000 4.595479369E-001
 -1.358711421E-001 -1.003156006E-001 5.670825005E+000 4.184209108E-001
 -1.305496842E-001 -1.003156006E-001 5.771259785E+000 3.772938550E-001
 -1.252282262E-001 -1.003156006E-001 5.874110699E+000 3.374149501E-001
 -1.199067682E-001 -1.003156006E-001 5.970204353E+000 3.088811338E-001
 -1.145853102E-001 -1.003156006E-001 6.064585209E+000 2.835201025E-001
 -1.092638522E-001 -1.003156006E-001 6.160274506E+000 2.590717077E-001
 -1.039423943E-001 -1.003156006E-001 6.255026340E+000 2.346922159E-001
 -9.862093627E-002 -1.003156006E-001 6.341200352E+000 2.210220098E-001
 -9.329947084E-002 -1.003156006E-001 6.428433418E+000 2.083155066E-001
 -8.797801286E-002 -1.003156006E-001 6.515666485E+000 1.956090331E-001
 -8.265655488E-002 -1.003156006E-001 6.602653027E+000 1.834547073E-001
 -7.733509690E-002 -1.003156006E-001 6.681247234E+000 1.793176830E-001
 -7.201363891E-002 -1.003156006E-001 6.759768009E+000 1.750879139E-001
 -6.669218093E-002 -1.003156006E-001 6.838288784E+000 1.708581597E-001
 -6.137072667E-002 -1.003156006E-001 6.917496204E+000 1.674946100E-001
 -5.604926869E-002 -1.003156006E-001 6.989767551E+000 1.690726429E-001
 -5.072781071E-002 -1.003156006E-001 7.060343266E+000 1.717270613E-001
 -4.540634900E-002 -1.003156006E-001 7.130697250E+000 1.740348041E-001
 -4.008489102E-002 -1.003156006E-001 7.201492786E+000 1.770335585E-001
 -3.476343304E-002 -1.003156006E-001 7.269821644E+000 1.813550740E-001
 -2.944197692E-002 -1.003156006E-001 7.332672119E+000 1.886155605E-001
 -2.412051894E-002 -1.003156006E-001 7.395620823E+000 1.960743964E-001
 -1.879905909E-002 -1.003156006E-001 7.458705425E+000 2.038063258E-001
 -1.347760204E-002 -1.003156006E-001 7.521644115E+000 2.112443596E-001
 -8.156144060E-003 -1.003156006E-001 7.580658436E+000 2.202832699E-001
 -2.834685380E-003 -1.003156006E-001 7.636586666E+000 2.305814922E-001
 2.486772602E-003 -1.003156006E-001 7.692710876E+000 2.414002270E-001
 7.808230817E-003 -1.003156006E-001 7.748837948E+000 2.522256970E-001
 1.312968880E-002 -1.003156006E-001 7.804800034E+000 2.626149058E-001
 1.845114678E-002 -1.003156006E-001 7.857392311E+000 2.740299702E-001
