TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 3.335169315E+000 5.400467873E+000
 -2.955148816E-001 -1.003156006E-001 3.219047070E+000 5.298237801E+000
 -2.901934385E-001 -1.003156006E-001 3.118283272E+000 5.189015388E+000
 -2.848719656E-001 -1.003156006E-001 3.015579939E+000 5.075215340E+000
 -2.795505226E-001 -1.003156006E-001 2.912619591E+000 4.946222305E+000
 -2.742290497E-001 -1.003156006E-001 2.813288450E+000 4.801692963E+000
 -2.689076066E-001 -1.003156006E-001 2.709722757E+000 4.647891998E+000
 -2.635861337E-001 -1.003156006E-001 2.632925510E+000 4.495141983E+000
 -2.582646906E-001 -1.003156006E-001 2.566798687E+000 4.327915668E+000
 -2.529432178E-001 -1.003156006E-001 2.504069805E+000 4.151529789E+000
 -2.476217598E-001 -1.003156006E-001 2.442941904E+000 3.964618444E+000
 -2.423003018E-001 -1.003156006E-001 2.407230616E+000 3.779511452E+000
 -2.369788438E-001 -1.003156006E-001 2.389794588E+000 3.592879772E+000
 -2.316573858E-001 -1.003156006E-001 2.375145674E+000 3.395679235E+000
 -2.263359278E-001 -1.003156006E-001 2.372877121E+000 3.195262432E+000
 -2.210144699E-001 -1.003156006E-001 2.398340702E+000 3.011368990E+000
 -2.156930119E-001 -1.003156006E-001 2.427314997E+000 2.822240353E+000
 -2.103715539E-001 -1.003156006E-001 2.465480804E+000 2.627434254E+000
 -2.050500959E-001 -1.003156006E-001 2.526327848E+000 2.460260630E+000
 -1.997286379E-001 -1.003156006E-001 2.590793610E+000 2.290057898E+000
 -1.944071800E-001 -1.003156006E-001 2.664572001E+000 2.116315126E+000
 -1.890857220E-001 -1.003156006E-001 2.747965813E+000 1.970951557E+000
 -1.837642640E-001 -1.003156006E-001 2.840719223E+000 1.827771544E+000
 -1.784428060E-001 -1.003156006E-001 2.933902025E+000 1.683316112E+000
 -1.731213480E-001 -1.003156006E-001 3.036610126E+000 1.561597586E+000
 -1.677998900E-001 -1.003156006E-001 3.137535572E+000 1.446074843E+000
 -1.624784321E-001 -1.003156006E-001 3.244792461E+000 1.330539346E+000
 -1.571569741E-001 -1.003156006E-001 3.350705624E+000 1.231734872E+000
 -1.518355161E-001 -1.003156006E-001 3.459512234E+000 1.143144965E+000
 -1.465140581E-001 -1.003156006E-001 3.569645882E+000 1.054754496E+000
 -1.411926001E-001 -1.003156006E-001 3.679180384E+000 9.732818604E-001
 -1.358711421E-001 -1.003156006E-001 3.785429478E+000 9.070659876E-001
 -1.305496842E-001 -1.003156006E-001 3.891678333E+000 8.408501744E-001
 -1.252282262E-001 -1.003156006E-001 4.000926971E+000 7.757426500E-001
 -1.199067682E-001 -1.003156006E-001 4.103796482E+000 7.252379060E-001
 -1.145853102E-001 -1.003156006E-001 4.205109596E+000 6.786087155E-001
 -1.092638522E-001 -1.003156006E-001 4.308087349E+000 6.328675151E-001
 -1.039423943E-001 -1.003156006E-001 4.409966469E+000 5.874688625E-001
 -9.862093627E-002 -1.003156006E-001 4.503212929E+000 5.558735728E-001
 -9.329947084E-002 -1.003156006E-001 4.597878933E+000 5.252931118E-001
 -8.797801286E-002 -1.003156006E-001 4.692544460E+000 4.947127104E-001
 -8.265655488E-002 -1.003156006E-001 4.786900043E+000 4.648861289E-001
 -7.733509690E-002 -1.003156006E-001 4.872517109E+000 4.456401467E-001
 -7.201363891E-002 -1.003156006E-001 4.958063602E+000 4.263238907E-001
 -6.669218093E-002 -1.003156006E-001 5.043610096E+000 4.070076048E-001
 -6.137072667E-002 -1.003156006E-001 5.130077839E+000 3.886114359E-001
 -5.604926869E-002 -1.003156006E-001 5.208958149E+000 3.770940602E-001
 -5.072781071E-002 -1.003156006E-001 5.286022186E+000 3.670167923E-001
 -4.540634900E-002 -1.003156006E-001 5.362789154E+000 3.565719426E-001
 -4.008489102E-002 -1.003156006E-001 5.440176010E+000 3.468939066E-001
 -3.476343304E-002 -1.003156006E-001 5.514769554E+000 3.391379416E-001
 -2.944197692E-002 -1.003156006E-001 5.583334923E+000 3.355298042E-001
 -2.412051894E-002 -1.003156006E-001 5.652041912E+000 3.321406841E-001
 -1.879905909E-002 -1.003156006E-001 5.720942020E+000 3.290495276E-001
 -1.347760204E-002 -1.003156006E-001 5.789636612E+000 3.256415427E-001
 -8.156144060E-003 -1.003156006E-001 5.853880405E+000 3.246840537E-001
 -2.834685380E-003 -1.003156006E-001 5.914711475E+000 3.256057203E-001
 2.486772602E-003 -1.003156006E-001 5.975852489E+000 3.271203935E-001
 7.808230817E-003 -1.003156006E-001 6.036995888E+000 3.286395967E-001
 1.312968880E-002 -1.003156006E-001 6.097880840E+000 3.296651244E-001
 1.845114678E-002 -1.003156006E-001 6.154840946E+000 3.324583471E-001
