TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 7.624703884E+000 1.332424283E+000
 -2.955148816E-001 -1.003156006E-001 7.574849606E+000 1.267663121E+000
 -2.901934385E-001 -1.003156006E-001 7.535749435E+000 1.201068997E+000
 -2.848719656E-001 -1.003156006E-001 7.496215820E+000 1.131322980E+000
 -2.795505226E-001 -1.003156006E-001 7.459385872E+000 1.052080154E+000
 -2.742290497E-001 -1.003156006E-001 7.427923679E+000 9.638540149E-001
 -2.689076066E-001 -1.003156006E-001 7.395776272E+000 8.690106869E-001
 -2.635861337E-001 -1.003156006E-001 7.379855633E+000 7.804405689E-001
 -2.582646906E-001 -1.003156006E-001 7.373631954E+000 6.854400635E-001
 -2.529432178E-001 -1.003156006E-001 7.371593475E+000 5.856834650E-001
 -2.476217598E-001 -1.003156006E-001 7.373025417E+000 4.800066054E-001
 -2.423003018E-001 -1.003156006E-001 7.389188766E+000 3.817793429E-001
 -2.369788438E-001 -1.003156006E-001 7.416450977E+000 2.874355912E-001
 -2.316573858E-001 -1.003156006E-001 7.448055267E+000 1.876936108E-001
 -2.263359278E-001 -1.003156006E-001 7.487623215E+000 8.939474821E-002
 -2.210144699E-001 -1.003156006E-001 7.538577557E+000 8.038029075E-003
 -2.156930119E-001 -1.003156006E-001 7.592920780E+000 -7.529778033E-002
 -2.103715539E-001 -1.003156006E-001 7.653952122E+000 -1.592540741E-001
 -2.050500959E-001 -1.003156006E-001 7.719500542E+000 -2.216818333E-001
 -1.997286379E-001 -1.003156006E-001 7.787874222E+000 -2.847998142E-001
 -1.944071800E-001 -1.003156006E-001 7.862184525E+000 -3.471804559E-001
 -1.890857220E-001 -1.003156006E-001 7.933764458E+000 -3.915203214E-001
 -1.837642640E-001 -1.003156006E-001 8.009755135E+000 -4.320197403E-001
 -1.784428060E-001 -1.003156006E-001 8.086330414E+000 -4.730562866E-001
 -1.731213480E-001 -1.003156006E-001 8.161281586E+000 -4.995101690E-001
 -1.677998900E-001 -1.003156006E-001 8.233481407E+000 -5.233241916E-001
 -1.624784321E-001 -1.003156006E-001 8.309004784E+000 -5.452595949E-001
 -1.571569741E-001 -1.003156006E-001 8.378808975E+000 -5.590046644E-001
 -1.518355161E-001 -1.003156006E-001 8.447004318E+000 -5.666889548E-001
 -1.465140581E-001 -1.003156006E-001 8.515819550E+000 -5.738682151E-001
 -1.411926001E-001 -1.003156006E-001 8.582191467E+000 -5.777660608E-001
 -1.358711421E-001 -1.003156006E-001 8.642312050E+000 -5.750250816E-001
 -1.305496842E-001 -1.003156006E-001 8.702431679E+000 -5.722841024E-001
 -1.252282262E-001 -1.003156006E-001 8.763681412E+000 -5.680776834E-001
 -1.199067682E-001 -1.003156006E-001 8.817257881E+000 -5.587145090E-001
 -1.145853102E-001 -1.003156006E-001 8.868877411E+000 -5.479603410E-001
 -1.092638522E-001 -1.003156006E-001 8.921020508E+000 -5.362622738E-001
 -1.039423943E-001 -1.003156006E-001 8.972518921E+000 -5.247297287E-001
 -9.862093627E-002 -1.003156006E-001 9.015561104E+000 -5.093145967E-001
 -9.329947084E-002 -1.003156006E-001 9.058962822E+000 -4.929642081E-001
 -8.797801286E-002 -1.003156006E-001 9.102363586E+000 -4.766138792E-001
 -8.265655488E-002 -1.003156006E-001 9.145359993E+000 -4.600066543E-001
 -7.733509690E-002 -1.003156006E-001 9.180843353E+000 -4.411831498E-001
 -7.201363891E-002 -1.003156006E-001 9.216317177E+000 -4.224101007E-001
 -6.669218093E-002 -1.003156006E-001 9.251791000E+000 -4.036370516E-001
 -6.137072667E-002 -1.003156006E-001 9.287400246E+000 -3.841350675E-001
 -5.604926869E-002 -1.003156006E-001 9.317173958E+000 -3.638827801E-001
 -5.072781071E-002 -1.003156006E-001 9.345631599E+000 -3.435527384E-001
 -4.540634900E-002 -1.003156006E-001 9.374073029E+000 -3.234912455E-001
 -4.008489102E-002 -1.003156006E-001 9.402549744E+000 -3.028634787E-001
 -3.476343304E-002 -1.003156006E-001 9.429060936E+000 -2.822817862E-001
 -2.944197692E-002 -1.003156006E-001 9.451360703E+000 -2.617989480E-001
 -2.412051894E-002 -1.003156006E-001 9.473649979E+000 -2.411650717E-001
 -1.879905909E-002 -1.003156006E-001 9.495925903E+000 -2.203264683E-001
 -1.347760204E-002 -1.003156006E-001 9.518216133E+000 -1.997050047E-001
 -8.156144060E-003 -1.003156006E-001 9.537563324E+000 -1.795294881E-001
 -2.834685380E-003 -1.003156006E-001 9.554666519E+000 -1.596938968E-001
 2.486772602E-003 -1.003156006E-001 9.571693420E+000 -1.394735426E-001
 7.808230817E-003 -1.003156006E-001 9.588719368E+000 -1.192506999E-001
 1.312968880E-002 -1.003156006E-001 9.605809212E+000 -9.934767336E-002
