TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 7.494531155E+000 1.227504373E+000
 -2.955148816E-001 -1.003156006E-001 7.457204342E+000 1.156731963E+000
 -2.901934385E-001 -1.003156006E-001 7.430471897E+000 1.085871935E+000
 -2.848719656E-001 -1.003156006E-001 7.403988361E+000 1.011898994E+000
 -2.795505226E-001 -1.003156006E-001 7.380855083E+000 9.291864038E-001
 -2.742290497E-001 -1.003156006E-001 7.363463879E+000 8.387950063E-001
 -2.689076066E-001 -1.003156006E-001 7.346194744E+000 7.417504191E-001
 -2.635861337E-001 -1.003156006E-001 7.343347549E+000 6.515480280E-001
 -2.582646906E-001 -1.003156006E-001 7.350508690E+000 5.565651059E-001
 -2.529432178E-001 -1.003156006E-001 7.361884117E+000 4.576511383E-001
 -2.476217598E-001 -1.003156006E-001 7.377270222E+000 3.530348241E-001
 -2.423003018E-001 -1.003156006E-001 7.405907631E+000 2.562386692E-001
 -2.369788438E-001 -1.003156006E-001 7.445244789E+000 1.643483639E-001
 -2.316573858E-001 -1.003156006E-001 7.489180565E+000 6.773513556E-002
 -2.263359278E-001 -1.003156006E-001 7.540522575E+000 -2.743203752E-002
 -2.210144699E-001 -1.003156006E-001 7.601991177E+000 -1.051509455E-001
 -2.156930119E-001 -1.003156006E-001 7.666886806E+000 -1.844038963E-001
 -2.103715539E-001 -1.003156006E-001 7.738207340E+000 -2.638550997E-001
 -2.050500959E-001 -1.003156006E-001 7.812842369E+000 -3.226142824E-001
 -1.997286379E-001 -1.003156006E-001 7.890066147E+000 -3.813515007E-001
 -1.944071800E-001 -1.003156006E-001 7.973218441E+000 -4.390341938E-001
 -1.890857220E-001 -1.003156006E-001 8.052861214E+000 -4.794790149E-001
 -1.837642640E-001 -1.003156006E-001 8.136482239E+000 -5.156764388E-001
 -1.784428060E-001 -1.003156006E-001 8.220839500E+000 -5.524378419E-001
 -1.731213480E-001 -1.003156006E-001 8.302946091E+000 -5.750327706E-001
 -1.677998900E-001 -1.003156006E-001 8.382246017E+000 -5.948056579E-001
 -1.624784321E-001 -1.003156006E-001 8.464708328E+000 -6.126312613E-001
 -1.571569741E-001 -1.003156006E-001 8.541220665E+000 -6.227343082E-001
 -1.518355161E-001 -1.003156006E-001 8.615867615E+000 -6.266511679E-001
 -1.465140581E-001 -1.003156006E-001 8.691053391E+000 -6.301016212E-001
 -1.411926001E-001 -1.003156006E-001 8.763998032E+000 -6.303457618E-001
 -1.358711421E-001 -1.003156006E-001 8.830190659E+000 -6.241195798E-001
 -1.305496842E-001 -1.003156006E-001 8.896383286E+000 -6.178934574E-001
 -1.252282262E-001 -1.003156006E-001 8.963714600E+000 -6.101214886E-001
 -1.199067682E-001 -1.003156006E-001 9.023308754E+000 -5.974343419E-001
 -1.145853102E-001 -1.003156006E-001 9.080810547E+000 -5.832720399E-001
 -1.092638522E-001 -1.003156006E-001 9.138839722E+000 -5.681279302E-001
 -1.039423943E-001 -1.003156006E-001 9.196289063E+000 -5.532715321E-001
 -9.862093627E-002 -1.003156006E-001 9.245044708E+000 -5.344988108E-001
 -9.329947084E-002 -1.003156006E-001 9.294148445E+000 -5.148108602E-001
 -8.797801286E-002 -1.003156006E-001 9.343251228E+000 -4.951229393E-001
 -8.265655488E-002 -1.003156006E-001 9.392065048E+000 -4.751744866E-001
 -7.733509690E-002 -1.003156006E-001 9.433114052E+000 -4.529351294E-001
 -7.201363891E-002 -1.003156006E-001 9.474143982E+000 -4.307896495E-001
 -6.669218093E-002 -1.003156006E-001 9.515173912E+000 -4.086441696E-001
 -6.137072667E-002 -1.003156006E-001 9.556352615E+000 -3.857376575E-001
 -5.604926869E-002 -1.003156006E-001 9.591631889E+000 -3.620444834E-001
 -5.072781071E-002 -1.003156006E-001 9.625479698E+000 -3.382283449E-001
 -4.540634900E-002 -1.003156006E-001 9.659305573E+000 -3.147056997E-001
 -4.008489102E-002 -1.003156006E-001 9.693176270E+000 -2.906122208E-001
 -3.476343304E-002 -1.003156006E-001 9.725091934E+000 -2.665354013E-001
 -2.944197692E-002 -1.003156006E-001 9.752592087E+000 -2.424963415E-001
 -2.412051894E-002 -1.003156006E-001 9.780086517E+000 -2.182993740E-001
 -1.879905909E-002 -1.003156006E-001 9.807572365E+000 -1.938834786E-001
 -1.347760204E-002 -1.003156006E-001 9.835066795E+000 -1.697045714E-001
 -8.156144060E-003 -1.003156006E-001 9.859568596E+000 -1.459110081E-001
 -2.834685380E-003 -1.003156006E-001 9.881682396E+000 -1.224248633E-001
 2.486772602E-003 -1.003156006E-001 9.903731346E+000 -9.854423255E-002
 7.808230817E-003 -1.003156006E-001 9.925779343E+000 -7.465725392E-002
 1.312968880E-002 -1.003156006E-001 9.947881699E+000 -5.110226944E-002
