TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 7.821941376E+000 9.817311168E-001
 -2.955148816E-001 -1.003156006E-001 7.781919003E+000 9.173766375E-001
 -2.901934385E-001 -1.003156006E-001 7.752144814E+000 8.522716165E-001
 -2.848719656E-001 -1.003156006E-001 7.722294331E+000 7.841746807E-001
 -2.795505226E-001 -1.003156006E-001 7.695735455E+000 7.074542046E-001
 -2.742290497E-001 -1.003156006E-001 7.674914837E+000 6.228511930E-001
 -2.689076066E-001 -1.003156006E-001 7.654072762E+000 5.319996476E-001
 -2.635861337E-001 -1.003156006E-001 7.647722721E+000 4.482785165E-001
 -2.582646906E-001 -1.003156006E-001 7.650930405E+000 3.594315946E-001
 -2.529432178E-001 -1.003156006E-001 7.658430099E+000 2.665179670E-001
 -2.476217598E-001 -1.003156006E-001 7.669681072E+000 1.682749242E-001
 -2.423003018E-001 -1.003156006E-001 7.694075108E+000 7.810765505E-002
 -2.369788438E-001 -1.003156006E-001 7.728630066E+000 -7.455533370E-003
 -2.316573858E-001 -1.003156006E-001 7.767689228E+000 -9.770498425E-002
 -2.263359278E-001 -1.003156006E-001 7.814133644E+000 -1.860335469E-001
 -2.210144699E-001 -1.003156006E-001 7.869924068E+000 -2.573354244E-001
 -2.156930119E-001 -1.003156006E-001 7.929058075E+000 -3.301761746E-001
 -2.103715539E-001 -1.003156006E-001 7.994562149E+000 -4.030340314E-001
 -2.050500959E-001 -1.003156006E-001 8.062504768E+000 -4.553155899E-001
 -1.997286379E-001 -1.003156006E-001 8.133088112E+000 -5.079209208E-001
 -1.944071800E-001 -1.003156006E-001 8.209270477E+000 -5.593381524E-001
 -1.890857220E-001 -1.003156006E-001 8.281408310E+000 -5.941354036E-001
 -1.837642640E-001 -1.003156006E-001 8.357395172E+000 -6.249215007E-001
 -1.784428060E-001 -1.003156006E-001 8.433986664E+000 -6.561781168E-001
 -1.731213480E-001 -1.003156006E-001 8.507831573E+000 -6.737368703E-001
 -1.677998900E-001 -1.003156006E-001 8.578850746E+000 -6.889525652E-001
 -1.624784321E-001 -1.003156006E-001 8.652860641E+000 -7.021155953E-001
 -1.571569741E-001 -1.003156006E-001 8.720757484E+000 -7.080164552E-001
 -1.518355161E-001 -1.003156006E-001 8.786606789E+000 -7.082563043E-001
 -1.465140581E-001 -1.003156006E-001 8.852992058E+000 -7.079742551E-001
 -1.411926001E-001 -1.003156006E-001 8.916824341E+000 -7.047751546E-001
 -1.358711421E-001 -1.003156006E-001 8.974094391E+000 -6.957909465E-001
 -1.305496842E-001 -1.003156006E-001 9.031364441E+000 -6.868067384E-001
 -1.252282262E-001 -1.003156006E-001 9.089594841E+000 -6.763238907E-001
 -1.199067682E-001 -1.003156006E-001 9.140109062E+000 -6.615946889E-001
 -1.145853102E-001 -1.003156006E-001 9.188627243E+000 -6.456868649E-001
 -1.092638522E-001 -1.003156006E-001 9.237569809E+000 -6.288327575E-001
 -1.039423943E-001 -1.003156006E-001 9.285923004E+000 -6.122078896E-001
 -9.862093627E-002 -1.003156006E-001 9.325859070E+000 -5.925677419E-001
 -9.329947084E-002 -1.003156006E-001 9.366059303E+000 -5.720116496E-001
 -8.797801286E-002 -1.003156006E-001 9.406259537E+000 -5.514555573E-001
 -8.265655488E-002 -1.003156006E-001 9.446080208E+000 -5.306861997E-001
 -7.733509690E-002 -1.003156006E-001 9.478512764E+000 -5.084070563E-001
 -7.201363891E-002 -1.003156006E-001 9.510938644E+000 -4.861843586E-001
 -6.669218093E-002 -1.003156006E-001 9.543365479E+000 -4.639616609E-001
 -6.137072667E-002 -1.003156006E-001 9.575867653E+000 -4.410259426E-001
 -5.604926869E-002 -1.003156006E-001 9.602719307E+000 -4.178376794E-001
 -5.072781071E-002 -1.003156006E-001 9.628285408E+000 -3.946753144E-001
 -4.540634900E-002 -1.003156006E-001 9.653855324E+000 -3.717758954E-001
 -4.008489102E-002 -1.003156006E-001 9.679418564E+000 -3.483301401E-001
 -3.476343304E-002 -1.003156006E-001 9.703101158E+000 -3.250811100E-001
 -2.944197692E-002 -1.003156006E-001 9.722716331E+000 -3.022576571E-001
 -2.412051894E-002 -1.003156006E-001 9.742310524E+000 -2.792883813E-001
 -1.879905909E-002 -1.003156006E-001 9.761878014E+000 -2.561205328E-001
 -1.347760204E-002 -1.003156006E-001 9.781475067E+000 -2.331640720E-001
 -8.156144060E-003 -1.003156006E-001 9.798254013E+000 -2.108663768E-001
 -2.834685380E-003 -1.003156006E-001 9.812867165E+000 -1.890749633E-001
 2.486772602E-003 -1.003156006E-001 9.827380180E+000 -1.669153124E-001
 7.808230817E-003 -1.003156006E-001 9.841892242E+000 -1.447526515E-001
 1.312968880E-002 -1.003156006E-001 9.856488228E+000 -1.228967458E-001
