TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 7.634952068E+000 1.389433146E+000
 -2.955148816E-001 -1.003156006E-001 7.584435463E+000 1.324158907E+000
 -2.901934385E-001 -1.003156006E-001 7.544711113E+000 1.256876230E+000
 -2.848719656E-001 -1.003156006E-001 7.504481316E+000 1.186435580E+000
 -2.795505226E-001 -1.003156006E-001 7.466940880E+000 1.106387734E+000
 -2.742290497E-001 -1.003156006E-001 7.434785366E+000 1.017174721E+000
 -2.689076066E-001 -1.003156006E-001 7.401869297E+000 9.213593006E-001
 -2.635861337E-001 -1.003156006E-001 7.385429382E+000 8.318423629E-001
 -2.582646906E-001 -1.003156006E-001 7.378665447E+000 7.356842160E-001
 -2.529432178E-001 -1.003156006E-001 7.376108170E+000 6.346479654E-001
 -2.476217598E-001 -1.003156006E-001 7.376982689E+000 5.276570916E-001
 -2.423003018E-001 -1.003156006E-001 7.392815590E+000 4.281308651E-001
 -2.369788438E-001 -1.003156006E-001 7.419841766E+000 3.323828876E-001
 -2.316573858E-001 -1.003156006E-001 7.451196671E+000 2.311320454E-001
 -2.263359278E-001 -1.003156006E-001 7.490639210E+000 1.313428283E-001
 -2.210144699E-001 -1.003156006E-001 7.541657925E+000 4.851257429E-002
 -2.156930119E-001 -1.003156006E-001 7.596071720E+000 -3.636727855E-002
 -2.103715539E-001 -1.003156006E-001 7.657254696E+000 -1.219314784E-001
 -2.050500959E-001 -1.003156006E-001 7.723154545E+000 -1.857721061E-001
 -1.997286379E-001 -1.003156006E-001 7.791913509E+000 -2.504173517E-001
 -1.944071800E-001 -1.003156006E-001 7.866650581E+000 -3.143655360E-001
 -1.890857220E-001 -1.003156006E-001 7.938773155E+000 -3.600322902E-001
 -1.837642640E-001 -1.003156006E-001 8.015406609E+000 -4.018957615E-001
 -1.784428060E-001 -1.003156006E-001 8.092611313E+000 -4.442968667E-001
 -1.731213480E-001 -1.003156006E-001 8.168302536E+000 -4.719529152E-001
 -1.677998900E-001 -1.003156006E-001 8.241235733E+000 -4.969679713E-001
 -1.624784321E-001 -1.003156006E-001 8.317537308E+000 -5.201141238E-001
 -1.571569741E-001 -1.003156006E-001 8.388154030E+000 -5.349339843E-001
 -1.518355161E-001 -1.003156006E-001 8.457213402E+000 -5.436682701E-001
 -1.465140581E-001 -1.003156006E-001 8.526910782E+000 -5.518920422E-001
 -1.411926001E-001 -1.003156006E-001 8.594145775E+000 -5.567870140E-001
 -1.358711421E-001 -1.003156006E-001 8.655196190E+000 -5.549414158E-001
 -1.305496842E-001 -1.003156006E-001 8.716245651E+000 -5.530958176E-001
 -1.252282262E-001 -1.003156006E-001 8.778436661E+000 -5.497875214E-001
 -1.199067682E-001 -1.003156006E-001 8.832934380E+000 -5.412001610E-001
 -1.145853102E-001 -1.003156006E-001 8.885484695E+000 -5.312099457E-001
 -1.092638522E-001 -1.003156006E-001 8.938566208E+000 -5.202765465E-001
 -1.039423943E-001 -1.003156006E-001 8.990987778E+000 -5.094884634E-001
 -9.862093627E-002 -1.003156006E-001 9.034949303E+000 -4.947329462E-001
 -9.329947084E-002 -1.003156006E-001 9.079279900E+000 -4.790389240E-001
 -8.797801286E-002 -1.003156006E-001 9.123611450E+000 -4.633449614E-001
 -8.265655488E-002 -1.003156006E-001 9.167529106E+000 -4.473901391E-001
 -7.733509690E-002 -1.003156006E-001 9.203956604E+000 -4.291414320E-001
 -7.201363891E-002 -1.003156006E-001 9.240374565E+000 -4.109376371E-001
 -6.669218093E-002 -1.003156006E-001 9.276793480E+000 -3.927338123E-001
 -6.137072667E-002 -1.003156006E-001 9.313350677E+000 -3.738023341E-001
 -5.604926869E-002 -1.003156006E-001 9.344050407E+000 -3.540514708E-001
 -5.072781071E-002 -1.003156006E-001 9.373440742E+000 -3.342129290E-001
 -4.540634900E-002 -1.003156006E-001 9.402812958E+000 -3.146415353E-001
 -4.008489102E-002 -1.003156006E-001 9.432225227E+000 -2.945004702E-001
 -3.476343304E-002 -1.003156006E-001 9.459654808E+000 -2.743849456E-001
 -2.944197692E-002 -1.003156006E-001 9.482867241E+000 -2.543237507E-001
 -2.412051894E-002 -1.003156006E-001 9.506069183E+000 -2.341109067E-001
 -1.879905909E-002 -1.003156006E-001 9.529259682E+000 -2.136933208E-001
 -1.347760204E-002 -1.003156006E-001 9.552463531E+000 -1.934922934E-001
 -8.156144060E-003 -1.003156006E-001 9.572704315E+000 -1.737151295E-001
 -2.834685380E-003 -1.003156006E-001 9.590702057E+000 -1.542591155E-001
 2.486772602E-003 -1.003156006E-001 9.608623505E+000 -1.344172060E-001
 7.808230817E-003 -1.003156006E-001 9.626545906E+000 -1.145731211E-001
 1.312968880E-002 -1.003156006E-001 9.644529343E+000 -9.504953027E-002
