TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 6.801787376E+000 2.763175964E+000
 -2.955148816E-001 -1.003156006E-001 6.713771343E+000 2.695659876E+000
 -2.901934385E-001 -1.003156006E-001 6.638705254E+000 2.621977091E+000
 -2.848719656E-001 -1.003156006E-001 6.561902523E+000 2.544524193E+000
 -2.795505226E-001 -1.003156006E-001 6.485423565E+000 2.454081774E+000
 -2.742290497E-001 -1.003156006E-001 6.412761211E+000 2.350252151E+000
 -2.689076066E-001 -1.003156006E-001 6.337021828E+000 2.238425016E+000
 -2.635861337E-001 -1.003156006E-001 6.284372807E+000 2.129270077E+000
 -2.582646906E-001 -1.003156006E-001 6.241674900E+000 2.008532524E+000
 -2.529432178E-001 -1.003156006E-001 6.202733994E+000 1.880225062E+000
 -2.476217598E-001 -1.003156006E-001 6.166133404E+000 1.743451476E+000
 -2.423003018E-001 -1.003156006E-001 6.150675297E+000 1.611294150E+000
 -2.369788438E-001 -1.003156006E-001 6.150170326E+000 1.480204582E+000
 -2.316573858E-001 -1.003156006E-001 6.153238297E+000 1.340804458E+000
 -2.263359278E-001 -1.003156006E-001 6.166990757E+000 1.200703740E+000
 -2.210144699E-001 -1.003156006E-001 6.200652599E+000 1.077862263E+000
 -2.156930119E-001 -1.003156006E-001 6.237828732E+000 9.513127208E-001
 -2.103715539E-001 -1.003156006E-001 6.283210754E+000 8.216900229E-001
 -2.050500959E-001 -1.003156006E-001 6.341507435E+000 7.174854875E-001
 -1.997286379E-001 -1.003156006E-001 6.403051853E+000 6.111979485E-001
 -1.944071800E-001 -1.003156006E-001 6.472165108E+000 5.037709475E-001
 -1.890857220E-001 -1.003156006E-001 6.544117928E+000 4.197220802E-001
 -1.837642640E-001 -1.003156006E-001 6.622911930E+000 3.387361765E-001
 -1.784428060E-001 -1.003156006E-001 6.702180862E+000 2.569362819E-001
 -1.731213480E-001 -1.003156006E-001 6.784556866E+000 1.938778907E-001
 -1.677998900E-001 -1.003156006E-001 6.864397526E+000 1.349157840E-001
 -1.624784321E-001 -1.003156006E-001 6.949013233E+000 7.714175433E-002
 -1.571569741E-001 -1.003156006E-001 7.029415131E+000 3.156412765E-002
 -1.518355161E-001 -1.003156006E-001 7.109899998E+000 -6.070614792E-003
 -1.465140581E-001 -1.003156006E-001 7.191349030E+000 -4.327980801E-002
 -1.411926001E-001 -1.003156006E-001 7.270808220E+000 -7.557829469E-002
 -1.358711421E-001 -1.003156006E-001 7.345025063E+000 -9.762379527E-002
 -1.305496842E-001 -1.003156006E-001 7.419241905E+000 -1.196692958E-001
 -1.252282262E-001 -1.003156006E-001 7.495316029E+000 -1.403352916E-001
 -1.199067682E-001 -1.003156006E-001 7.563875198E+000 -1.520780325E-001
 -1.145853102E-001 -1.003156006E-001 7.630575180E+000 -1.615297943E-001
 -1.092638522E-001 -1.003156006E-001 7.698232174E+000 -1.700306982E-001
 -1.039423943E-001 -1.003156006E-001 7.765037537E+000 -1.784540117E-001
 -9.862093627E-002 -1.003156006E-001 7.823031425E+000 -1.793305278E-001
 -9.329947084E-002 -1.003156006E-001 7.881785870E+000 -1.791935414E-001
 -8.797801286E-002 -1.003156006E-001 7.940540791E+000 -1.790565401E-001
 -8.265655488E-002 -1.003156006E-001 7.998853683E+000 -1.784609258E-001
 -7.733509690E-002 -1.003156006E-001 8.048986435E+000 -1.726852357E-001
 -7.201363891E-002 -1.003156006E-001 8.099100113E+000 -1.669502109E-001
 -6.669218093E-002 -1.003156006E-001 8.149212837E+000 -1.612151712E-001
 -6.137072667E-002 -1.003156006E-001 8.199730873E+000 -1.546644270E-001
 -5.604926869E-002 -1.003156006E-001 8.243573189E+000 -1.452437937E-001
 -5.072781071E-002 -1.003156006E-001 8.285914421E+000 -1.353106946E-001
 -4.540634900E-002 -1.003156006E-001 8.328146935E+000 -1.256805658E-001
 -4.008489102E-002 -1.003156006E-001 8.370614052E+000 -1.153929159E-001
 -3.476343304E-002 -1.003156006E-001 8.410751343E+000 -1.044993922E-001
 -2.944197692E-002 -1.003156006E-001 8.445981979E+000 -9.233044833E-002
 -2.412051894E-002 -1.003156006E-001 8.481252670E+000 -7.998470217E-002
 -1.879905909E-002 -1.003156006E-001 8.516575813E+000 -6.740117818E-002
 -1.347760204E-002 -1.003156006E-001 8.551842690E+000 -5.506794155E-002
 -8.156144060E-003 -1.003156006E-001 8.583574295E+000 -4.225842655E-002
 -2.834685380E-003 -1.003156006E-001 8.612651825E+000 -2.909165993E-002
 2.486772602E-003 -1.003156006E-001 8.641774178E+000 -1.546174008E-002
 7.808230817E-003 -1.003156006E-001 8.670896530E+000 -1.830351306E-003
 1.312968880E-002 -1.003156006E-001 8.699981689E+000 1.141767949E-002
