TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 5.670615196E+000 3.049504995E+000
 -2.955148816E-001 -1.003156006E-001 5.606330395E+000 2.961231232E+000
 -2.901934385E-001 -1.003156006E-001 5.554801941E+000 2.870684862E+000
 -2.848719656E-001 -1.003156006E-001 5.502943993E+000 2.776262283E+000
 -2.795505226E-001 -1.003156006E-001 5.453121662E+000 2.670551062E+000
 -2.742290497E-001 -1.003156006E-001 5.408344269E+000 2.554353237E+000
 -2.689076066E-001 -1.003156006E-001 5.362104416E+000 2.430160522E+000
 -2.635861337E-001 -1.003156006E-001 5.334657192E+000 2.310417414E+000
 -2.582646906E-001 -1.003156006E-001 5.317893505E+000 2.182347536E+000
 -2.529432178E-001 -1.003156006E-001 5.305045605E+000 2.048479319E+000
 -2.476217598E-001 -1.003156006E-001 5.295433044E+000 1.906649590E+000
 -2.423003018E-001 -1.003156006E-001 5.303839207E+000 1.770266056E+000
 -2.369788438E-001 -1.003156006E-001 5.326517582E+000 1.636545897E+000
 -2.316573858E-001 -1.003156006E-001 5.353259563E+000 1.495835900E+000
 -2.263359278E-001 -1.003156006E-001 5.389180660E+000 1.354519844E+000
 -2.210144699E-001 -1.003156006E-001 5.442693710E+000 1.230734825E+000
 -2.156930119E-001 -1.003156006E-001 5.499807358E+000 1.104016185E+000
 -2.103715539E-001 -1.003156006E-001 5.564467430E+000 9.749571681E-001
 -2.050500959E-001 -1.003156006E-001 5.640051365E+000 8.691608310E-001
 -1.997286379E-001 -1.003156006E-001 5.718727112E+000 7.625885010E-001
 -1.944071800E-001 -1.003156006E-001 5.804860592E+000 6.551567912E-001
 -1.890857220E-001 -1.003156006E-001 5.893027782E+000 5.694816113E-001
 -1.837642640E-001 -1.003156006E-001 5.987485409E+000 4.874734879E-001
 -1.784428060E-001 -1.003156006E-001 6.082653522E+000 4.044927657E-001
 -1.731213480E-001 -1.003156006E-001 6.180438519E+000 3.393968046E-001
 -1.677998900E-001 -1.003156006E-001 6.275954723E+000 2.788276672E-001
 -1.624784321E-001 -1.003156006E-001 6.375976086E+000 2.193796784E-001
 -1.571569741E-001 -1.003156006E-001 6.471876144E+000 1.714990735E-001
 -1.518355161E-001 -1.003156006E-001 6.567971230E+000 1.318230480E-001
 -1.465140581E-001 -1.003156006E-001 6.664879322E+000 9.248658270E-002
 -1.411926001E-001 -1.003156006E-001 6.760470390E+000 5.789566785E-002
 -1.358711421E-001 -1.003156006E-001 6.850530148E+000 3.384953737E-002
 -1.305496842E-001 -1.003156006E-001 6.940590382E+000 9.803407826E-003
 -1.252282262E-001 -1.003156006E-001 7.032668114E+000 -1.284334809E-002
 -1.199067682E-001 -1.003156006E-001 7.117485523E+000 -2.629571036E-002
 -1.145853102E-001 -1.003156006E-001 7.200387001E+000 -3.704721481E-002
 -1.092638522E-001 -1.003156006E-001 7.284341335E+000 -4.683168977E-002
 -1.039423943E-001 -1.003156006E-001 7.367481232E+000 -5.674312636E-002
 -9.862093627E-002 -1.003156006E-001 7.441777229E+000 -5.812560022E-002
 -9.329947084E-002 -1.003156006E-001 7.516878128E+000 -5.855382606E-002
 -8.797801286E-002 -1.003156006E-001 7.591979027E+000 -5.898204818E-002
 -8.265655488E-002 -1.003156006E-001 7.666871071E+000 -5.897904560E-002
 -7.733509690E-002 -1.003156006E-001 7.733377457E+000 -5.286445096E-002
 -7.201363891E-002 -1.003156006E-001 7.799816132E+000 -4.686299339E-002
 -6.669218093E-002 -1.003156006E-001 7.866254807E+000 -4.086153582E-002
 -6.137072667E-002 -1.003156006E-001 7.933202267E+000 -3.400464356E-002
 -5.604926869E-002 -1.003156006E-001 7.993463039E+000 -2.363985591E-002
 -5.072781071E-002 -1.003156006E-001 8.052055359E+000 -1.249061991E-002
 -4.540634900E-002 -1.003156006E-001 8.110489845E+000 -1.683727722E-003
 -4.008489102E-002 -1.003156006E-001 8.169227600E+000 9.780443273E-003
 -3.476343304E-002 -1.003156006E-001 8.225659370E+000 2.210177481E-002
 -2.944197692E-002 -1.003156006E-001 8.276838303E+000 3.637554124E-002
 -2.412051894E-002 -1.003156006E-001 8.328079224E+000 5.083943903E-002
 -1.879905909E-002 -1.003156006E-001 8.379408836E+000 6.556779146E-002
 -1.347760204E-002 -1.003156006E-001 8.430643082E+000 8.000883460E-002
 -8.156144060E-003 -1.003156006E-001 8.478203773E+000 9.535338730E-002
 -2.834685380E-003 -1.003156006E-001 8.522812843E+000 1.114240885E-001
 2.486772602E-003 -1.003156006E-001 8.567523956E+000 1.279814541E-001
 7.808230817E-003 -1.003156006E-001 8.612236977E+000 1.445472389E-001
 1.312968880E-002 -1.003156006E-001 8.656863213E+000 1.607029140E-001
 1.845114678E-002 -1.003156006E-001 8.698390007E+000 1.773058176E-001
