TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 6.788209438E+000 1.953801870E+000
 -2.955148816E-001 -1.003156006E-001 6.739206314E+000 1.875921965E+000
 -2.901934385E-001 -1.003156006E-001 6.701632023E+000 1.797140360E+000
 -2.848719656E-001 -1.003156006E-001 6.664093018E+000 1.714904428E+000
 -2.795505226E-001 -1.003156006E-001 6.629350185E+000 1.622847795E+000
 -2.742290497E-001 -1.003156006E-001 6.600052357E+000 1.521983981E+000
 -2.689076066E-001 -1.003156006E-001 6.570237160E+000 1.413881540E+000
 -2.635861337E-001 -1.003156006E-001 6.556727886E+000 1.311585307E+000
 -2.582646906E-001 -1.003156006E-001 6.553559780E+000 1.203094721E+000
 -2.529432178E-001 -1.003156006E-001 6.554467201E+000 1.089928627E+000
 -2.476217598E-001 -1.003156006E-001 6.559096813E+000 9.700967073E-001
 -2.423003018E-001 -1.003156006E-001 6.578913689E+000 8.570659757E-001
 -2.369788438E-001 -1.003156006E-001 6.610948563E+000 7.480468154E-001
 -2.316573858E-001 -1.003156006E-001 6.647364616E+000 6.333736181E-001
 -2.263359278E-001 -1.003156006E-001 6.691888332E+000 5.192438364E-001
 -2.210144699E-001 -1.003156006E-001 6.749650955E+000 4.226823747E-001
 -2.156930119E-001 -1.003156006E-001 6.810911179E+000 3.240296245E-001
 -2.103715539E-001 -1.003156006E-001 6.879038811E+000 2.242862433E-001
 -2.050500959E-001 -1.003156006E-001 6.953701973E+000 1.462256610E-001
 -1.997286379E-001 -1.003156006E-001 7.031158924E+000 6.790451705E-002
 -1.944071800E-001 -1.003156006E-001 7.115214348E+000 -1.016945299E-002
 -1.890857220E-001 -1.003156006E-001 7.198061943E+000 -6.911733001E-002
 -1.837642640E-001 -1.003156006E-001 7.285852909E+000 -1.240041479E-001
 -1.784428060E-001 -1.003156006E-001 7.374389172E+000 -1.796295196E-001
 -1.731213480E-001 -1.003156006E-001 7.462584496E+000 -2.193886638E-001
 -1.677998900E-001 -1.003156006E-001 7.548168659E+000 -2.555544972E-001
 -1.624784321E-001 -1.003156006E-001 7.637464046E+000 -2.900889218E-001
 -1.571569741E-001 -1.003156006E-001 7.721510410E+000 -3.153309226E-001
 -1.518355161E-001 -1.003156006E-001 7.804504871E+000 -3.335196674E-001
 -1.465140581E-001 -1.003156006E-001 7.888145447E+000 -3.512979150E-001
 -1.411926001E-001 -1.003156006E-001 7.969945431E+000 -3.652441204E-001
 -1.358711421E-001 -1.003156006E-001 8.045432091E+000 -3.710676432E-001
 -1.305496842E-001 -1.003156006E-001 8.120919228E+000 -3.768911660E-001
 -1.252282262E-001 -1.003156006E-001 8.197916031E+000 -3.812130690E-001
 -1.199067682E-001 -1.003156006E-001 8.267333031E+000 -3.788855672E-001
 -1.145853102E-001 -1.003156006E-001 8.334708214E+000 -3.745702803E-001
 -1.092638522E-001 -1.003156006E-001 8.402834892E+000 -3.692708015E-001
 -1.039423943E-001 -1.003156006E-001 8.470286369E+000 -3.642074168E-001
 -9.862093627E-002 -1.003156006E-001 8.528885841E+000 -3.533026874E-001
 -9.329947084E-002 -1.003156006E-001 8.588020325E+000 -3.414578438E-001
 -8.797801286E-002 -1.003156006E-001 8.647155762E+000 -3.296130598E-001
 -8.265655488E-002 -1.003156006E-001 8.706038475E+000 -3.174348772E-001
 -7.733509690E-002 -1.003156006E-001 8.756762505E+000 -3.013841212E-001
 -7.201363891E-002 -1.003156006E-001 8.807446480E+000 -2.854410410E-001
 -6.669218093E-002 -1.003156006E-001 8.858131409E+000 -2.694979608E-001
 -6.137072667E-002 -1.003156006E-001 8.909111023E+000 -2.527417243E-001
 -5.604926869E-002 -1.003156006E-001 8.953795433E+000 -2.341288030E-001
 -5.072781071E-002 -1.003156006E-001 8.996923447E+000 -2.151295692E-001
 -4.540634900E-002 -1.003156006E-001 9.039974213E+000 -1.964496821E-001
 -4.008489102E-002 -1.003156006E-001 9.083174706E+000 -1.771568358E-001
 -3.476343304E-002 -1.003156006E-001 9.124259949E+000 -1.575400382E-001
 -2.944197692E-002 -1.003156006E-001 9.160528183E+000 -1.371849477E-001
 -2.412051894E-002 -1.003156006E-001 9.196818352E+000 -1.166565120E-001
 -1.879905909E-002 -1.003156006E-001 9.233137131E+000 -9.588666260E-002
 -1.347760204E-002 -1.003156006E-001 9.269424438E+000 -7.537899166E-002
 -8.156144060E-003 -1.003156006E-001 9.302392006E+000 -5.475449190E-002
 -2.834685380E-003 -1.003156006E-001 9.332692146E+000 -3.403608128E-002
 2.486772602E-003 -1.003156006E-001 9.362990379E+000 -1.287754532E-002
 7.808230817E-003 -1.003156006E-001 9.393289566E+000 8.288613521E-003
 1.312968880E-002 -1.003156006E-001 9.423588753E+000 2.908383310E-002
