TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 4.619609833E+000 4.334615707E+000
 -2.955148816E-001 -1.003156006E-001 4.522317886E+000 4.240419388E+000
 -2.901934385E-001 -1.003156006E-001 4.439920902E+000 4.141095161E+000
 -2.848719656E-001 -1.003156006E-001 4.356309891E+000 4.037197113E+000
 -2.795505226E-001 -1.003156006E-001 4.273055077E+000 3.919260025E+000
 -2.742290497E-001 -1.003156006E-001 4.193919182E+000 3.787612438E+000
 -2.689076066E-001 -1.003156006E-001 4.111503124E+000 3.646699429E+000
 -2.635861337E-001 -1.003156006E-001 4.052979469E+000 3.507849693E+000
 -2.582646906E-001 -1.003156006E-001 4.005678177E+000 3.356882811E+000
 -2.529432178E-001 -1.003156006E-001 3.962002039E+000 3.198112965E+000
 -2.476217598E-001 -1.003156006E-001 3.920645475E+000 3.029253483E+000
 -2.423003018E-001 -1.003156006E-001 3.902243614E+000 2.863495827E+000
 -2.369788438E-001 -1.003156006E-001 3.901499033E+000 2.698056936E+000
 -2.316573858E-001 -1.003156006E-001 3.904288292E+000 2.523357391E+000
 -2.263359278E-001 -1.003156006E-001 3.918116808E+000 2.346233845E+000
 -2.210144699E-001 -1.003156006E-001 3.956212759E+000 2.186871052E+000
 -2.156930119E-001 -1.003156006E-001 3.998061419E+000 2.023269892E+000
 -2.103715539E-001 -1.003156006E-001 4.048568726E+000 1.855409622E+000
 -2.050500959E-001 -1.003156006E-001 4.116764069E+000 1.713657975E+000
 -1.997286379E-001 -1.003156006E-001 4.188509464E+000 1.570257306E+000
 -1.944071800E-001 -1.003156006E-001 4.269027710E+000 1.424471378E+000
 -1.890857220E-001 -1.003156006E-001 4.355984211E+000 1.304517269E+000
 -1.837642640E-001 -1.003156006E-001 4.451215744E+000 1.187649965E+000
 -1.784428060E-001 -1.003156006E-001 4.547078609E+000 1.069502592E+000
 -1.731213480E-001 -1.003156006E-001 4.649437428E+000 9.723473787E-001
 -1.677998900E-001 -1.003156006E-001 4.749856472E+000 8.809606433E-001
 -1.624784321E-001 -1.003156006E-001 4.855910778E+000 7.900816798E-001
 -1.571569741E-001 -1.003156006E-001 4.959203720E+000 7.139005065E-001
 -1.518355161E-001 -1.003156006E-001 5.064240932E+000 6.474610567E-001
 -1.465140581E-001 -1.003156006E-001 5.170338154E+000 5.812838674E-001
 -1.411926001E-001 -1.003156006E-001 5.275658131E+000 5.210877061E-001
 -1.358711421E-001 -1.003156006E-001 5.376378059E+000 4.745319784E-001
 -1.305496842E-001 -1.003156006E-001 5.477097511E+000 4.279762506E-001
 -1.252282262E-001 -1.003156006E-001 5.580473900E+000 3.827174604E-001
 -1.199067682E-001 -1.003156006E-001 5.676838875E+000 3.497874737E-001
 -1.145853102E-001 -1.003156006E-001 5.771413803E+000 3.203876615E-001
 -1.092638522E-001 -1.003156006E-001 5.867419720E+000 2.919505835E-001
 -1.039423943E-001 -1.003156006E-001 5.962424278E+000 2.635460794E-001
 -9.862093627E-002 -1.003156006E-001 6.048398972E+000 2.468708158E-001
 -9.329947084E-002 -1.003156006E-001 6.135513306E+000 2.311972827E-001
 -8.797801286E-002 -1.003156006E-001 6.222628117E+000 2.155237645E-001
 -8.265655488E-002 -1.003156006E-001 6.309541225E+000 2.004211694E-001
 -7.733509690E-002 -1.003156006E-001 6.387568474E+000 1.941341609E-001
 -7.201363891E-002 -1.003156006E-001 6.465503693E+000 1.877334863E-001
 -6.669218093E-002 -1.003156006E-001 6.543438911E+000 1.813328117E-001
 -6.137072667E-002 -1.003156006E-001 6.622128010E+000 1.758592874E-001
 -5.604926869E-002 -1.003156006E-001 6.693421841E+000 1.757967621E-001
 -5.072781071E-002 -1.003156006E-001 6.762874603E+000 1.769526899E-001
 -4.540634900E-002 -1.003156006E-001 6.832084179E+000 1.777305752E-001
 -4.008489102E-002 -1.003156006E-001 6.901767254E+000 1.792446971E-001
 -3.476343304E-002 -1.003156006E-001 6.968835354E+000 1.821760386E-001
 -2.944197692E-002 -1.003156006E-001 7.030004978E+000 1.883039474E-001
 -2.412051894E-002 -1.003156006E-001 7.091281891E+000 1.946443170E-001
 -1.879905909E-002 -1.003156006E-001 7.152706623E+000 2.012788504E-001
 -1.347760204E-002 -1.003156006E-001 7.213971138E+000 2.075949162E-001
 -8.156144060E-003 -1.003156006E-001 7.271078587E+000 2.156367898E-001
 -2.834685380E-003 -1.003156006E-001 7.324872017E+000 2.250543237E-001
 2.486772602E-003 -1.003156006E-001 7.378884315E+000 2.350269705E-001
 7.808230817E-003 -1.003156006E-001 7.432900429E+000 2.450084686E-001
 1.312968880E-002 -1.003156006E-001 7.486732006E+000 2.545228899E-001
 1.845114678E-002 -1.003156006E-001 7.536944866E+000 2.651986182E-001
