TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 3.555643320E+000 5.864626408E+000
 -2.955148816E-001 -1.003156006E-001 3.417342901E+000 5.763791561E+000
 -2.901934385E-001 -1.003156006E-001 3.295830250E+000 5.653633118E+000
 -2.848719656E-001 -1.003156006E-001 3.171666384E+000 5.538505554E+000
 -2.795505226E-001 -1.003156006E-001 3.046277285E+000 5.406013966E+000
 -2.742290497E-001 -1.003156006E-001 2.924067497E+000 5.255361557E+000
 -2.689076066E-001 -1.003156006E-001 2.796511173E+000 5.094553947E+000
 -2.635861337E-001 -1.003156006E-001 2.699896812E+000 4.933711529E+000
 -2.582646906E-001 -1.003156006E-001 2.614395857E+000 4.755795956E+000
 -2.529432178E-001 -1.003156006E-001 2.532285452E+000 4.567200661E+000
 -2.476217598E-001 -1.003156006E-001 2.451438427E+000 4.366845608E+000
 -2.423003018E-001 -1.003156006E-001 2.399565458E+000 4.167589188E+000
 -2.369788438E-001 -1.003156006E-001 2.367964745E+000 3.965852022E+000
 -2.316573858E-001 -1.003156006E-001 2.338969469E+000 3.752133846E+000
 -2.263359278E-001 -1.003156006E-001 2.323927402E+000 3.534370899E+000
 -2.210144699E-001 -1.003156006E-001 2.340281963E+000 3.333187580E+000
 -2.156930119E-001 -1.003156006E-001 2.360279560E+000 3.125856161E+000
 -2.103715539E-001 -1.003156006E-001 2.390362501E+000 2.911607504E+000
 -2.050500959E-001 -1.003156006E-001 2.447101355E+000 2.728019953E+000
 -1.997286379E-001 -1.003156006E-001 2.507700920E+000 2.540646791E+000
 -1.944071800E-001 -1.003156006E-001 2.578482866E+000 2.349060535E+000
 -1.890857220E-001 -1.003156006E-001 2.661240339E+000 2.189266205E+000
 -1.837642640E-001 -1.003156006E-001 2.754618645E+000 2.031562805E+000
 -1.784428060E-001 -1.003156006E-001 2.848396540E+000 1.872534871E+000
 -1.731213480E-001 -1.003156006E-001 2.952834368E+000 1.738360286E+000
 -1.677998900E-001 -1.003156006E-001 3.055237293E+000 1.610857129E+000
 -1.624784321E-001 -1.003156006E-001 3.164610624E+000 1.483224869E+000
 -1.571569741E-001 -1.003156006E-001 3.272969007E+000 1.374088407E+000
 -1.518355161E-001 -1.003156006E-001 3.384733200E+000 1.275928974E+000
 -1.465140581E-001 -1.003156006E-001 3.498008013E+000 1.177943587E+000
 -1.411926001E-001 -1.003156006E-001 3.610661983E+000 1.087549090E+000
 -1.358711421E-001 -1.003156006E-001 3.720205307E+000 1.013682723E+000
 -1.305496842E-001 -1.003156006E-001 3.829748869E+000 9.398162365E-001
 -1.252282262E-001 -1.003156006E-001 3.942528009E+000 8.670694232E-001
 -1.199067682E-001 -1.003156006E-001 4.048806667E+000 8.104033470E-001
 -1.145853102E-001 -1.003156006E-001 4.153512955E+000 7.579061985E-001
 -1.092638522E-001 -1.003156006E-001 4.260022640E+000 7.063264847E-001
 -1.039423943E-001 -1.003156006E-001 4.365359306E+000 6.552116871E-001
 -9.862093627E-002 -1.003156006E-001 4.461703300E+000 6.191651225E-001
 -9.329947084E-002 -1.003156006E-001 4.559611797E+000 5.841913819E-001
 -8.797801286E-002 -1.003156006E-001 4.657520771E+000 5.492177606E-001
 -8.265655488E-002 -1.003156006E-001 4.755062580E+000 5.150960684E-001
 -7.733509690E-002 -1.003156006E-001 4.843454838E+000 4.925022423E-001
 -7.201363891E-002 -1.003156006E-001 4.931786060E+000 4.698492289E-001
 -6.669218093E-002 -1.003156006E-001 5.020117283E+000 4.471962154E-001
 -6.137072667E-002 -1.003156006E-001 5.109442711E+000 4.255097508E-001
 -5.604926869E-002 -1.003156006E-001 5.190716743E+000 4.113562107E-001
 -5.072781071E-002 -1.003156006E-001 5.270089626E+000 3.987400532E-001
 -4.540634900E-002 -1.003156006E-001 5.349146366E+000 3.857426047E-001
 -4.008489102E-002 -1.003156006E-001 5.428878307E+000 3.735587299E-001
 -3.476343304E-002 -1.003156006E-001 5.505641460E+000 3.634766340E-001
 -2.944197692E-002 -1.003156006E-001 5.576088905E+000 3.578656912E-001
 -2.412051894E-002 -1.003156006E-001 5.646689415E+000 3.524839282E-001
 -1.879905909E-002 -1.003156006E-001 5.717497349E+000 3.474118114E-001
 -1.347760204E-002 -1.003156006E-001 5.788086414E+000 3.420123458E-001
 -8.156144060E-003 -1.003156006E-001 5.853983879E+000 3.393022418E-001
 -2.834685380E-003 -1.003156006E-001 5.916326523E+000 3.386296928E-001
 2.486772602E-003 -1.003156006E-001 5.979011059E+000 3.385815024E-001
 7.808230817E-003 -1.003156006E-001 6.041697025E+000 3.385367692E-001
 1.312968880E-002 -1.003156006E-001 6.104099751E+000 3.379735649E-001
 1.845114678E-002 -1.003156006E-001 6.162370205E+000 3.393429518E-001
