TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 8.127116203E+000 5.642628670E-001
 -2.955148816E-001 -1.003156006E-001 8.099509239E+000 4.998993874E-001
 -2.901934385E-001 -1.003156006E-001 8.081520081E+000 4.360737503E-001
 -2.848719656E-001 -1.003156006E-001 8.063832283E+000 3.694778979E-001
 -2.795505226E-001 -1.003156006E-001 8.050251007E+000 2.953083813E-001
 -2.742290497E-001 -1.003156006E-001 8.042916298E+000 2.145560384E-001
 -2.689076066E-001 -1.003156006E-001 8.036347389E+000 1.279847771E-001
 -2.635861337E-001 -1.003156006E-001 8.042339325E+000 4.978768900E-002
 -2.582646906E-001 -1.003156006E-001 8.057839394E+000 -3.197017685E-002
 -2.529432178E-001 -1.003156006E-001 8.077795982E+000 -1.169670969E-001
 -2.476217598E-001 -1.003156006E-001 8.101881027E+000 -2.064334899E-001
 -2.423003018E-001 -1.003156006E-001 8.137223244E+000 -2.867430449E-001
 -2.369788438E-001 -1.003156006E-001 8.181468010E+000 -3.615031242E-001
 -2.316573858E-001 -1.003156006E-001 8.230507851E+000 -4.400556684E-001
 -2.263359278E-001 -1.003156006E-001 8.286140442E+000 -5.158819556E-001
 -2.210144699E-001 -1.003156006E-001 8.348367691E+000 -5.746955276E-001
 -2.156930119E-001 -1.003156006E-001 8.413906097E+000 -6.345373988E-001
 -2.103715539E-001 -1.003156006E-001 8.485352516E+000 -6.936205029E-001
 -2.050500959E-001 -1.003156006E-001 8.556606293E+000 -7.334210277E-001
 -1.997286379E-001 -1.003156006E-001 8.630389214E+000 -7.732331157E-001
 -1.944071800E-001 -1.003156006E-001 8.709246635E+000 -8.112869859E-001
 -1.890857220E-001 -1.003156006E-001 8.782389641E+000 -8.342238069E-001
 -1.837642640E-001 -1.003156006E-001 8.858658791E+000 -8.529466987E-001
 -1.784428060E-001 -1.003156006E-001 8.935554504E+000 -8.720373511E-001
 -1.731213480E-001 -1.003156006E-001 9.008262634E+000 -8.785928488E-001
 -1.677998900E-001 -1.003156006E-001 9.078044891E+000 -8.832850456E-001
 -1.624784321E-001 -1.003156006E-001 9.150390625E+000 -8.857005835E-001
 -1.571569741E-001 -1.003156006E-001 9.216136932E+000 -8.819925785E-001
 -1.518355161E-001 -1.003156006E-001 9.279294968E+000 -8.732017279E-001
 -1.465140581E-001 -1.003156006E-001 9.342896461E+000 -8.638574481E-001
 -1.411926001E-001 -1.003156006E-001 9.403749466E+000 -8.520603180E-001
 -1.358711421E-001 -1.003156006E-001 9.457754135E+000 -8.355693817E-001
 -1.305496842E-001 -1.003156006E-001 9.511757851E+000 -8.190785050E-001
 -1.252282262E-001 -1.003156006E-001 9.566497803E+000 -8.010677695E-001
 -1.199067682E-001 -1.003156006E-001 9.613451958E+000 -7.799310088E-001
 -1.145853102E-001 -1.003156006E-001 9.658383369E+000 -7.579103112E-001
 -1.092638522E-001 -1.003156006E-001 9.703604698E+000 -7.349445820E-001
 -1.039423943E-001 -1.003156006E-001 9.748292923E+000 -7.122617960E-001
 -9.862093627E-002 -1.003156006E-001 9.784654617E+000 -6.876798868E-001
 -9.329947084E-002 -1.003156006E-001 9.821158409E+000 -6.622000933E-001
 -8.797801286E-002 -1.003156006E-001 9.857663155E+000 -6.367203593E-001
 -8.265655488E-002 -1.003156006E-001 9.893774033E+000 -6.110807657E-001
 -7.733509690E-002 -1.003156006E-001 9.922710419E+000 -5.848213434E-001
 -7.201363891E-002 -1.003156006E-001 9.951647758E+000 -5.586155653E-001
 -6.669218093E-002 -1.003156006E-001 9.980585098E+000 -5.324097872E-001
 -6.137072667E-002 -1.003156006E-001 1.000951481E+001 -5.055207610E-001
 -5.604926869E-002 -1.003156006E-001 1.003304291E+001 -4.789813459E-001
 -5.072781071E-002 -1.003156006E-001 1.005535316E+001 -4.526009858E-001
 -4.540634900E-002 -1.003156006E-001 1.007769299E+001 -4.264708161E-001
 -4.008489102E-002 -1.003156006E-001 1.009997082E+001 -3.998202682E-001
 -3.476343304E-002 -1.003156006E-001 1.012046623E+001 -3.735464513E-001
 -2.944197692E-002 -1.003156006E-001 1.013710976E+001 -3.480868936E-001
 -2.412051894E-002 -1.003156006E-001 1.015372086E+001 -3.224889636E-001
 -1.879905909E-002 -1.003156006E-001 1.017028427E+001 -2.967028916E-001
 -1.347760204E-002 -1.003156006E-001 1.018689728E+001 -2.711171210E-001
 -8.156144060E-003 -1.003156006E-001 1.020085144E+001 -2.464427799E-001
 -2.834685380E-003 -1.003156006E-001 1.021276188E+001 -2.224686295E-001
 2.486772602E-003 -1.003156006E-001 1.022453785E+001 -1.981482059E-001
 7.808230817E-003 -1.003156006E-001 1.023631287E+001 -1.738248467E-001
 1.312968880E-002 -1.003156006E-001 1.024819946E+001 -1.497901380E-001
