TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 7.894191742E+000 8.524762392E-001
 -2.955148816E-001 -1.003156006E-001 7.858088493E+000 7.880132198E-001
 -2.901934385E-001 -1.003156006E-001 7.832061291E+000 7.232794762E-001
 -2.848719656E-001 -1.003156006E-001 7.806108952E+000 6.556296945E-001
 -2.795505226E-001 -1.003156006E-001 7.783683777E+000 5.796914101E-001
 -2.742290497E-001 -1.003156006E-001 7.767136574E+000 4.963038266E-001
 -2.689076066E-001 -1.003156006E-001 7.750756741E+000 4.067379832E-001
 -2.635861337E-001 -1.003156006E-001 7.748214722E+000 3.246157467E-001
 -2.582646906E-001 -1.003156006E-001 7.755284786E+000 2.379255742E-001
 -2.529432178E-001 -1.003156006E-001 7.766681194E+000 1.474588215E-001
 -2.476217598E-001 -1.003156006E-001 7.781974316E+000 5.190337449E-002
 -2.423003018E-001 -1.003156006E-001 7.809769630E+000 -3.530729562E-002
 -2.369788438E-001 -1.003156006E-001 7.847386360E+000 -1.176076978E-001
 -2.316573858E-001 -1.003156006E-001 7.889599800E+000 -2.043125629E-001
 -2.263359278E-001 -1.003156006E-001 7.938933849E+000 -2.889012396E-001
 -2.210144699E-001 -1.003156006E-001 7.996830463E+000 -3.564230204E-001
 -2.156930119E-001 -1.003156006E-001 8.058059692E+000 -4.253127575E-001
 -2.103715539E-001 -1.003156006E-001 8.125488281E+000 -4.939865172E-001
 -2.050500959E-001 -1.003156006E-001 8.194594383E+000 -5.425006747E-001
 -1.997286379E-001 -1.003156006E-001 8.266298294E+000 -5.911955833E-001
 -1.944071800E-001 -1.003156006E-001 8.343429565E+000 -6.385271549E-001
 -1.890857220E-001 -1.003156006E-001 8.416045189E+000 -6.697407961E-001
 -1.837642640E-001 -1.003156006E-001 8.492277145E+000 -6.968629360E-001
 -1.784428060E-001 -1.003156006E-001 8.569149971E+000 -7.244320512E-001
 -1.731213480E-001 -1.003156006E-001 8.642851830E+000 -7.386520505E-001
 -1.677998900E-001 -1.003156006E-001 8.713697433E+000 -7.506369948E-001
 -1.624784321E-001 -1.003156006E-001 8.787400246E+000 -7.605077028E-001
 -1.571569741E-001 -1.003156006E-001 8.854847908E+000 -7.634616494E-001
 -1.518355161E-001 -1.003156006E-001 8.920079231E+000 -7.608954906E-001
 -1.465140581E-001 -1.003156006E-001 8.985814095E+000 -7.578025460E-001
 -1.411926001E-001 -1.003156006E-001 9.048974991E+000 -7.519273758E-001
 -1.358711421E-001 -1.003156006E-001 9.105462074E+000 -7.405878305E-001
 -1.305496842E-001 -1.003156006E-001 9.161949158E+000 -7.292482853E-001
 -1.252282262E-001 -1.003156006E-001 9.219335556E+000 -7.163974643E-001
 -1.199067682E-001 -1.003156006E-001 9.268984795E+000 -6.996331215E-001
 -1.145853102E-001 -1.003156006E-001 9.316617966E+000 -6.817654371E-001
 -1.092638522E-001 -1.003156006E-001 9.364638329E+000 -6.629475355E-001
 -1.039423943E-001 -1.003156006E-001 9.412093163E+000 -6.443845630E-001
 -9.862093627E-002 -1.003156006E-001 9.451136589E+000 -6.231160164E-001
 -9.329947084E-002 -1.003156006E-001 9.490409851E+000 -6.009382010E-001
 -8.797801286E-002 -1.003156006E-001 9.529682159E+000 -5.787603855E-001
 -8.265655488E-002 -1.003156006E-001 9.568584442E+000 -5.563827753E-001
 -7.733509690E-002 -1.003156006E-001 9.600136757E+000 -5.327458978E-001
 -7.201363891E-002 -1.003156006E-001 9.631685257E+000 -5.091686845E-001
 -6.669218093E-002 -1.003156006E-001 9.663233757E+000 -4.855914414E-001
 -6.137072667E-002 -1.003156006E-001 9.694831848E+000 -4.613067210E-001
 -5.604926869E-002 -1.003156006E-001 9.720845222E+000 -4.369438887E-001
 -5.072781071E-002 -1.003156006E-001 9.745581627E+000 -4.126433134E-001
 -4.540634900E-002 -1.003156006E-001 9.770330429E+000 -3.886042833E-001
 -4.008489102E-002 -1.003156006E-001 9.795054436E+000 -3.640259206E-001
 -3.476343304E-002 -1.003156006E-001 9.817926407E+000 -3.396957815E-001
 -2.944197692E-002 -1.003156006E-001 9.836771011E+000 -3.159051836E-001
 -2.412051894E-002 -1.003156006E-001 9.855591774E+000 -2.919704020E-001
 -1.879905909E-002 -1.003156006E-001 9.874378204E+000 -2.678388655E-001
 -1.347760204E-002 -1.003156006E-001 9.893200874E+000 -2.439171821E-001
 -8.156144060E-003 -1.003156006E-001 9.909251213E+000 -2.207295150E-001
 -2.834685380E-003 -1.003156006E-001 9.923161507E+000 -1.981083900E-001
 2.486772602E-003 -1.003156006E-001 9.936959267E+000 -1.751249880E-001
 7.808230817E-003 -1.003156006E-001 9.950756073E+000 -1.521382928E-001
 1.312968880E-002 -1.003156006E-001 9.964646339E+000 -1.294537485E-001
