TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 7.272166729E+000 1.953943133E+000
 -2.955148816E-001 -1.003156006E-001 7.205533981E+000 1.888196826E+000
 -2.901934385E-001 -1.003156006E-001 7.150717258E+000 1.818619847E+000
 -2.848719656E-001 -1.003156006E-001 7.094889641E+000 1.745620847E+000
 -2.795505226E-001 -1.003156006E-001 7.040751457E+000 1.661599874E+000
 -2.742290497E-001 -1.003156006E-001 6.991347790E+000 1.566645265E+000
 -2.689076066E-001 -1.003156006E-001 6.940225601E+000 1.464477777E+000
 -2.635861337E-001 -1.003156006E-001 6.908092976E+000 1.367119312E+000
 -2.582646906E-001 -1.003156006E-001 6.885657310E+000 1.261111617E+000
 -2.529432178E-001 -1.003156006E-001 6.867197990E+000 1.149135709E+000
 -2.476217598E-001 -1.003156006E-001 6.851665497E+000 1.030139327E+000
 -2.423003018E-001 -1.003156006E-001 6.853770256E+000 9.172685146E-001
 -2.369788438E-001 -1.003156006E-001 6.868718147E+000 8.069649339E-001
 -2.316573858E-001 -1.003156006E-001 6.887672901E+000 6.899755001E-001
 -2.263359278E-001 -1.003156006E-001 6.915787697E+000 5.735060573E-001
 -2.210144699E-001 -1.003156006E-001 6.958971500E+000 4.741037190E-001
 -2.156930119E-001 -1.003156006E-001 7.005593300E+000 3.719671369E-001
 -2.103715539E-001 -1.003156006E-001 7.059569359E+000 2.681268156E-001
 -2.050500959E-001 -1.003156006E-001 7.121729851E+000 1.874560118E-001
 -1.997286379E-001 -1.003156006E-001 7.186911583E+000 1.054499149E-001
 -1.944071800E-001 -1.003156006E-001 7.258760929E+000 2.333328314E-002
 -1.890857220E-001 -1.003156006E-001 7.330359459E+000 -3.838287294E-002
 -1.837642640E-001 -1.003156006E-001 7.407458305E+000 -9.658013284E-002
 -1.784428060E-001 -1.003156006E-001 7.485084057E+000 -1.554333121E-001
 -1.731213480E-001 -1.003156006E-001 7.563054562E+000 -1.977269650E-001
 -1.677998900E-001 -1.003156006E-001 7.638352394E+000 -2.367312610E-001
 -1.624784321E-001 -1.003156006E-001 7.717598915E+000 -2.741357982E-001
 -1.571569741E-001 -1.003156006E-001 7.791766644E+000 -3.016634583E-001
 -1.518355161E-001 -1.003156006E-001 7.865065575E+000 -3.223641217E-001
 -1.465140581E-001 -1.003156006E-001 7.939134598E+000 -3.425954878E-001
 -1.411926001E-001 -1.003156006E-001 8.010967255E+000 -3.588727117E-001
 -1.358711421E-001 -1.003156006E-001 8.077040672E+000 -3.669932783E-001
 -1.305496842E-001 -1.003156006E-001 8.143114090E+000 -3.751138747E-001
 -1.252282262E-001 -1.003156006E-001 8.210636139E+000 -3.818105757E-001
 -1.199067682E-001 -1.003156006E-001 8.270546913E+000 -3.817033768E-001
 -1.145853102E-001 -1.003156006E-001 8.328547478E+000 -3.798128963E-001
 -1.092638522E-001 -1.003156006E-001 8.387257576E+000 -3.769741058E-001
 -1.039423943E-001 -1.003156006E-001 8.445228577E+000 -3.741937578E-001
 -9.862093627E-002 -1.003156006E-001 8.494583130E+000 -3.659368753E-001
 -9.329947084E-002 -1.003156006E-001 8.544467926E+000 -3.567108512E-001
 -8.797801286E-002 -1.003156006E-001 8.594353676E+000 -3.474848568E-001
 -8.265655488E-002 -1.003156006E-001 8.643815041E+000 -3.379184902E-001
 -7.733509690E-002 -1.003156006E-001 8.685495377E+000 -3.248612583E-001
 -7.201363891E-002 -1.003156006E-001 8.727160454E+000 -3.118486404E-001
 -6.669218093E-002 -1.003156006E-001 8.768826485E+000 -2.988359928E-001
 -6.137072667E-002 -1.003156006E-001 8.810748100E+000 -2.850585878E-001
 -5.604926869E-002 -1.003156006E-001 8.846480370E+000 -2.696181536E-001
 -5.072781071E-002 -1.003156006E-001 8.880822182E+000 -2.539119124E-001
 -4.540634900E-002 -1.003156006E-001 8.915106773E+000 -2.384881079E-001
 -4.008489102E-002 -1.003156006E-001 8.949514389E+000 -2.224588990E-001
 -3.476343304E-002 -1.003156006E-001 8.981796265E+000 -2.061971277E-001
 -2.944197692E-002 -1.003156006E-001 9.009571075E+000 -1.894420534E-001
 -2.412051894E-002 -1.003156006E-001 9.037357330E+000 -1.725250781E-001
 -1.879905909E-002 -1.003156006E-001 9.065158844E+000 -1.553896219E-001
 -1.347760204E-002 -1.003156006E-001 9.092944145E+000 -1.384849101E-001
 -8.156144060E-003 -1.003156006E-001 9.117532730E+000 -1.216325760E-001
 -2.834685380E-003 -1.003156006E-001 9.139705658E+000 -1.048198193E-001
 2.486772602E-003 -1.003156006E-001 9.161854744E+000 -8.758907020E-002
 7.808230817E-003 -1.003156006E-001 9.184003830E+000 -7.035639137E-002
 1.312968880E-002 -1.003156006E-001 9.206172943E+000 -5.347031727E-002
