TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 5.439079762E+000 4.972096443E+000
 -2.955148816E-001 -1.003156006E-001 5.293023586E+000 4.899545670E+000
 -2.901934385E-001 -1.003156006E-001 5.163369656E+000 4.814461708E+000
 -2.848719656E-001 -1.003156006E-001 5.030125141E+000 4.724625587E+000
 -2.795505226E-001 -1.003156006E-001 4.893689632E+000 4.616371155E+000
 -2.742290497E-001 -1.003156006E-001 4.758835793E+000 4.488074303E+000
 -2.689076066E-001 -1.003156006E-001 4.617372513E+000 4.349523067E+000
 -2.635861337E-001 -1.003156006E-001 4.508863449E+000 4.207994938E+000
 -2.582646906E-001 -1.003156006E-001 4.410570145E+000 4.047167778E+000
 -2.529432178E-001 -1.003156006E-001 4.315227032E+000 3.874520779E+000
 -2.476217598E-001 -1.003156006E-001 4.220548630E+000 3.689411879E+000
 -2.423003018E-001 -1.003156006E-001 4.157186985E+000 3.504323959E+000
 -2.369788438E-001 -1.003156006E-001 4.115155697E+000 3.316021919E+000
 -2.316573858E-001 -1.003156006E-001 4.075565338E+000 3.114929199E+000
 -2.263359278E-001 -1.003156006E-001 4.050865650E+000 2.909617901E+000
 -2.210144699E-001 -1.003156006E-001 4.059167385E+000 2.722441196E+000
 -2.156930119E-001 -1.003156006E-001 4.071217537E+000 2.528988361E+000
 -2.103715539E-001 -1.003156006E-001 4.093837738E+000 2.328683853E+000
 -2.050500959E-001 -1.003156006E-001 4.142368793E+000 2.159924507E+000
 -1.997286379E-001 -1.003156006E-001 4.194740295E+000 1.987115145E+000
 -1.944071800E-001 -1.003156006E-001 4.257257462E+000 1.810360432E+000
 -1.890857220E-001 -1.003156006E-001 4.331011772E+000 1.665331125E+000
 -1.837642640E-001 -1.003156006E-001 4.415204048E+000 1.522324800E+000
 -1.784428060E-001 -1.003156006E-001 4.499760151E+000 1.378102064E+000
 -1.731213480E-001 -1.003156006E-001 4.594519615E+000 1.258899808E+000
 -1.677998900E-001 -1.003156006E-001 4.687070370E+000 1.146133661E+000
 -1.624784321E-001 -1.003156006E-001 4.786614418E+000 1.033413529E+000
 -1.571569741E-001 -1.003156006E-001 4.884399891E+000 9.388381839E-001
 -1.518355161E-001 -1.003156006E-001 4.984909534E+000 8.550463915E-001
 -1.465140581E-001 -1.003156006E-001 5.086905956E+000 7.715132833E-001
 -1.411926001E-001 -1.003156006E-001 5.187777996E+000 6.954201460E-001
 -1.358711421E-001 -1.003156006E-001 5.284979820E+000 6.351208687E-001
 -1.305496842E-001 -1.003156006E-001 5.382182121E+000 5.748216510E-001
 -1.252282262E-001 -1.003156006E-001 5.482393742E+000 5.157878399E-001
 -1.199067682E-001 -1.003156006E-001 5.575314045E+000 4.716975391E-001
 -1.145853102E-001 -1.003156006E-001 5.666464329E+000 4.313803017E-001
 -1.092638522E-001 -1.003156006E-001 5.759240627E+000 3.920455575E-001
 -1.039423943E-001 -1.003156006E-001 5.850879669E+000 3.531350791E-001
 -9.862093627E-002 -1.003156006E-001 5.933050156E+000 3.276070952E-001
 -9.329947084E-002 -1.003156006E-001 6.016613960E+000 3.032067418E-001
 -8.797801286E-002 -1.003156006E-001 6.100177288E+000 2.788063884E-001
 -8.265655488E-002 -1.003156006E-001 6.183277607E+000 2.551985979E-001
 -7.733509690E-002 -1.003156006E-001 6.257079601E+000 2.414708287E-001
 -7.201363891E-002 -1.003156006E-001 6.330845833E+000 2.277015150E-001
 -6.669218093E-002 -1.003156006E-001 6.404612064E+000 2.139322013E-001
 -6.137072667E-002 -1.003156006E-001 6.479210377E+000 2.011265457E-001
 -5.604926869E-002 -1.003156006E-001 6.545780659E+000 1.945766807E-001
 -5.072781071E-002 -1.003156006E-001 6.610512733E+000 1.892371774E-001
 -4.540634900E-002 -1.003156006E-001 6.674996853E+000 1.835304946E-001
 -4.008489102E-002 -1.003156006E-001 6.740024090E+000 1.786287278E-001
 -3.476343304E-002 -1.003156006E-001 6.802145004E+000 1.753789932E-001
 -2.944197692E-002 -1.003156006E-001 6.858184814E+000 1.755863726E-001
 -2.412051894E-002 -1.003156006E-001 6.914339542E+000 1.760128886E-001
 -1.879905909E-002 -1.003156006E-001 6.970649242E+000 1.767335385E-001
 -1.347760204E-002 -1.003156006E-001 7.026796341E+000 1.771454662E-001
 -8.156144060E-003 -1.003156006E-001 7.078473568E+000 1.794983000E-001
 -2.834685380E-003 -1.003156006E-001 7.126815319E+000 1.832995862E-001
 2.486772602E-003 -1.003156006E-001 7.175396442E+000 1.876901835E-001
 7.808230817E-003 -1.003156006E-001 7.223978519E+000 1.920820177E-001
 1.312968880E-002 -1.003156006E-001 7.272362232E+000 1.959866732E-001
 1.845114678E-002 -1.003156006E-001 7.316879749E+000 2.011661232E-001
