TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 3.371962547E+000 5.571935177E+000
 -2.955148816E-001 -1.003156006E-001 3.248454094E+000 5.469812393E+000
 -2.901934385E-001 -1.003156006E-001 3.140758991E+000 5.359986305E+000
 -2.848719656E-001 -1.003156006E-001 3.030897141E+000 5.245450974E+000
 -2.795505226E-001 -1.003156006E-001 2.920465946E+000 5.115021706E+000
 -2.742290497E-001 -1.003156006E-001 2.813520670E+000 4.968208790E+000
 -2.689076066E-001 -1.003156006E-001 2.701972246E+000 4.811837673E+000
 -2.635861337E-001 -1.003156006E-001 2.618521452E+000 4.656102657E+000
 -2.582646906E-001 -1.003156006E-001 2.545862675E+000 4.485028267E+000
 -2.529432178E-001 -1.003156006E-001 2.476585388E+000 4.304297924E+000
 -2.476217598E-001 -1.003156006E-001 2.408783674E+000 4.112630367E+000
 -2.423003018E-001 -1.003156006E-001 2.367583513E+000 3.922528505E+000
 -2.369788438E-001 -1.003156006E-001 2.345315695E+000 3.730581284E+000
 -2.316573858E-001 -1.003156006E-001 2.325744867E+000 3.527600050E+000
 -2.263359278E-001 -1.003156006E-001 2.319048882E+000 3.321111917E+000
 -2.210144699E-001 -1.003156006E-001 2.341387272E+000 3.131096840E+000
 -2.156930119E-001 -1.003156006E-001 2.367271185E+000 2.935525656E+000
 -2.103715539E-001 -1.003156006E-001 2.402635574E+000 2.733821154E+000
 -2.050500959E-001 -1.003156006E-001 2.462159157E+000 2.560755491E+000
 -1.997286379E-001 -1.003156006E-001 2.525405169E+000 2.384400129E+000
 -1.944071800E-001 -1.003156006E-001 2.598323584E+000 2.204257965E+000
 -1.890857220E-001 -1.003156006E-001 2.681573391E+000 2.053743839E+000
 -1.837642640E-001 -1.003156006E-001 2.774631500E+000 1.905455112E+000
 -1.784428060E-001 -1.003156006E-001 2.868113041E+000 1.755870104E+000
 -1.731213480E-001 -1.003156006E-001 2.971433163E+000 1.629755378E+000
 -1.677998900E-001 -1.003156006E-001 3.072872639E+000 1.509982586E+000
 -1.624784321E-001 -1.003156006E-001 3.180848122E+000 1.390184045E+000
 -1.571569741E-001 -1.003156006E-001 3.287552357E+000 1.287700176E+000
 -1.518355161E-001 -1.003156006E-001 3.397319555E+000 1.195675015E+000
 -1.465140581E-001 -1.003156006E-001 3.508479357E+000 1.103837490E+000
 -1.411926001E-001 -1.003156006E-001 3.619026184E+000 1.019125581E+000
 -1.358711421E-001 -1.003156006E-001 3.726321220E+000 9.500740170E-001
 -1.305496842E-001 -1.003156006E-001 3.833616018E+000 8.810223937E-001
 -1.252282262E-001 -1.003156006E-001 3.943987370E+000 8.130859733E-001
 -1.199067682E-001 -1.003156006E-001 4.047974586E+000 7.602399588E-001
 -1.145853102E-001 -1.003156006E-001 4.150409698E+000 7.113670707E-001
 -1.092638522E-001 -1.003156006E-001 4.254553318E+000 6.633886695E-001
 -1.039423943E-001 -1.003156006E-001 4.357575893E+000 6.157937646E-001
 -9.862093627E-002 -1.003156006E-001 4.451875210E+000 5.824427009E-001
 -9.329947084E-002 -1.003156006E-001 4.547641754E+000 5.501236916E-001
 -8.797801286E-002 -1.003156006E-001 4.643408298E+000 5.178047419E-001
 -8.265655488E-002 -1.003156006E-001 4.738847733E+000 4.862727523E-001
 -7.733509690E-002 -1.003156006E-001 4.825423241E+000 4.656594992E-001
 -7.201363891E-002 -1.003156006E-001 4.911931515E+000 4.449793994E-001
 -6.669218093E-002 -1.003156006E-001 4.998439312E+000 4.242993295E-001
 -6.137072667E-002 -1.003156006E-001 5.085894585E+000 4.045540094E-001
 -5.604926869E-002 -1.003156006E-001 5.165614128E+000 3.919295371E-001
 -5.072781071E-002 -1.003156006E-001 5.243489742E+000 3.807840049E-001
 -4.540634900E-002 -1.003156006E-001 5.321060658E+000 3.692659140E-001
 -4.008489102E-002 -1.003156006E-001 5.399271965E+000 3.585307896E-001
 -3.476343304E-002 -1.003156006E-001 5.474627018E+000 3.497866988E-001
 -2.944197692E-002 -1.003156006E-001 5.543847084E+000 3.453196883E-001
 -2.412051894E-002 -1.003156006E-001 5.613212585E+000 3.410755396E-001
 -1.879905909E-002 -1.003156006E-001 5.682776451E+000 3.371340036E-001
 -1.347760204E-002 -1.003156006E-001 5.752130032E+000 3.328713477E-001
 -8.156144060E-003 -1.003156006E-001 5.816941738E+000 3.311468661E-001
 -2.834685380E-003 -1.003156006E-001 5.878284454E+000 3.313609660E-001
 2.486772602E-003 -1.003156006E-001 5.939948559E+000 3.321801126E-001
 7.808230817E-003 -1.003156006E-001 6.001615524E+000 3.330033720E-001
 1.312968880E-002 -1.003156006E-001 6.063014507E+000 3.333234787E-001
 1.845114678E-002 -1.003156006E-001 6.120404720E+000 3.354763091E-001
