TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 6.887823582E+000 1.849166632E+000
 -2.955148816E-001 -1.003156006E-001 6.840508461E+000 1.772300243E+000
 -2.901934385E-001 -1.003156006E-001 6.804478645E+000 1.694653988E+000
 -2.848719656E-001 -1.003156006E-001 6.768517971E+000 1.613603950E+000
 -2.795505226E-001 -1.003156006E-001 6.735427380E+000 1.522902012E+000
 -2.742290497E-001 -1.003156006E-001 6.707813740E+000 1.423561215E+000
 -2.689076066E-001 -1.003156006E-001 6.679766178E+000 1.317065001E+000
 -2.635861337E-001 -1.003156006E-001 6.667757511E+000 1.216514111E+000
 -2.582646906E-001 -1.003156006E-001 6.666053295E+000 1.109992623E+000
 -2.529432178E-001 -1.003156006E-001 6.668443680E+000 9.989160895E-001
 -2.476217598E-001 -1.003156006E-001 6.674604893E+000 8.813079596E-001
 -2.423003018E-001 -1.003156006E-001 6.695660114E+000 7.706400156E-001
 -2.369788438E-001 -1.003156006E-001 6.728702545E+000 6.641110182E-001
 -2.316573858E-001 -1.003156006E-001 6.766151905E+000 5.520668626E-001
 -2.263359278E-001 -1.003156006E-001 6.811583042E+000 4.406958520E-001
 -2.210144699E-001 -1.003156006E-001 6.869821548E+000 3.468652964E-001
 -2.156930119E-001 -1.003156006E-001 6.931542397E+000 2.510255277E-001
 -2.103715539E-001 -1.003156006E-001 7.000043869E+000 1.542220563E-001
 -2.050500959E-001 -1.003156006E-001 7.074643135E+000 7.891222835E-002
 -1.997286379E-001 -1.003156006E-001 7.152011395E+000 3.383502597E-003
 -1.944071800E-001 -1.003156006E-001 7.235862255E+000 -7.178829610E-002
 -1.890857220E-001 -1.003156006E-001 7.318194389E+000 -1.280770898E-001
 -1.837642640E-001 -1.003156006E-001 7.405321598E+000 -1.802663356E-001
 -1.784428060E-001 -1.003156006E-001 7.493200779E+000 -2.331689298E-001
 -1.731213480E-001 -1.003156006E-001 7.580462456E+000 -2.704524100E-001
 -1.677998900E-001 -1.003156006E-001 7.665089130E+000 -3.042502105E-001
 -1.624784321E-001 -1.003156006E-001 7.753342152E+000 -3.363755643E-001
 -1.571569741E-001 -1.003156006E-001 7.836256504E+000 -3.594625592E-001
 -1.518355161E-001 -1.003156006E-001 7.918006897E+000 -3.756371439E-001
 -1.465140581E-001 -1.003156006E-001 8.000387192E+000 -3.913941979E-001
 -1.411926001E-001 -1.003156006E-001 8.080875397E+000 -4.034009576E-001
 -1.358711421E-001 -1.003156006E-001 8.154987335E+000 -4.075046778E-001
 -1.305496842E-001 -1.003156006E-001 8.229099274E+000 -4.116083682E-001
 -1.252282262E-001 -1.003156006E-001 8.304665565E+000 -4.142042398E-001
 -1.199067682E-001 -1.003156006E-001 8.372632980E+000 -4.103931487E-001
 -1.145853102E-001 -1.003156006E-001 8.438551903E+000 -4.046650231E-001
 -1.092638522E-001 -1.003156006E-001 8.505187035E+000 -3.979520798E-001
 -1.039423943E-001 -1.003156006E-001 8.571163177E+000 -3.914833963E-001
 -9.862093627E-002 -1.003156006E-001 8.628299713E+000 -3.794401586E-001
 -9.329947084E-002 -1.003156006E-001 8.685942650E+000 -3.664605021E-001
 -8.797801286E-002 -1.003156006E-001 8.743586540E+000 -3.534808457E-001
 -8.265655488E-002 -1.003156006E-001 8.800975800E+000 -3.401775956E-001
 -7.733509690E-002 -1.003156006E-001 8.850255013E+000 -3.232295215E-001
 -7.201363891E-002 -1.003156006E-001 8.899497986E+000 -3.063874543E-001
 -6.669218093E-002 -1.003156006E-001 8.948740959E+000 -2.895453572E-001
 -6.137072667E-002 -1.003156006E-001 8.998257637E+000 -2.718978822E-001
 -5.604926869E-002 -1.003156006E-001 9.041529655E+000 -2.525475919E-001
 -5.072781071E-002 -1.003156006E-001 9.083261490E+000 -2.328488976E-001
 -4.540634900E-002 -1.003156006E-001 9.124924660E+000 -2.134668082E-001
 -4.008489102E-002 -1.003156006E-001 9.166720390E+000 -1.934762299E-001
 -3.476343304E-002 -1.003156006E-001 9.206421852E+000 -1.732117981E-001
 -2.944197692E-002 -1.003156006E-001 9.241356850E+000 -1.523237526E-001
 -2.412051894E-002 -1.003156006E-001 9.276309013E+000 -1.312643588E-001
 -1.879905909E-002 -1.003156006E-001 9.311283112E+000 -1.099664122E-001
 -1.347760204E-002 -1.003156006E-001 9.346233368E+000 -8.892745525E-002
 -8.156144060E-003 -1.003156006E-001 9.377905846E+000 -6.784688681E-002
 -2.834685380E-003 -1.003156006E-001 9.406945229E+000 -4.673287272E-002
 2.486772602E-003 -1.003156006E-001 9.435972214E+000 -2.518454753E-002
 7.808230817E-003 -1.003156006E-001 9.464999199E+000 -3.628751030E-003
 1.312968880E-002 -1.003156006E-001 9.494036674E+000 1.756106503E-002
