TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 7.361893177E+000 1.856670141E+000
 -2.955148816E-001 -1.003156006E-001 7.298753262E+000 1.790711522E+000
 -2.901934385E-001 -1.003156006E-001 7.247248173E+000 1.721223950E+000
 -2.848719656E-001 -1.003156006E-001 7.194815636E+000 1.648378134E+000
 -2.795505226E-001 -1.003156006E-001 7.144281387E+000 1.564778447E+000
 -2.742290497E-001 -1.003156006E-001 7.098599434E+000 1.470557809E+000
 -2.689076066E-001 -1.003156006E-001 7.051397800E+000 1.369248748E+000
 -2.635861337E-001 -1.003156006E-001 7.022728920E+000 1.273107767E+000
 -2.582646906E-001 -1.003156006E-001 7.003750801E+000 1.168681741E+000
 -2.529432178E-001 -1.003156006E-001 6.988816261E+000 1.058468580E+000
 -2.476217598E-001 -1.003156006E-001 6.976907730E+000 9.414429069E-001
 -2.423003018E-001 -1.003156006E-001 6.982151508E+000 8.308408260E-001
 -2.369788438E-001 -1.003156006E-001 6.999897003E+000 7.230488062E-001
 -2.316573858E-001 -1.003156006E-001 7.021746635E+000 6.087972522E-001
 -2.263359278E-001 -1.003156006E-001 7.052564144E+000 4.952707887E-001
 -2.210144699E-001 -1.003156006E-001 7.097780704E+000 3.987847865E-001
 -2.156930119E-001 -1.003156006E-001 7.146450996E+000 2.996773720E-001
 -2.103715539E-001 -1.003156006E-001 7.202370167E+000 1.990649253E-001
 -2.050500959E-001 -1.003156006E-001 7.265805721E+000 1.213967651E-001
 -1.997286379E-001 -1.003156006E-001 7.332272053E+000 4.245069250E-002
 -1.944071800E-001 -1.003156006E-001 7.405275822E+000 -3.644371033E-002
 -1.890857220E-001 -1.003156006E-001 7.477560997E+000 -9.526906908E-002
 -1.837642640E-001 -1.003156006E-001 7.555155277E+000 -1.505261064E-001
 -1.784428060E-001 -1.003156006E-001 7.633286953E+000 -2.064128369E-001
 -1.731213480E-001 -1.003156006E-001 7.711408138E+000 -2.460264564E-001
 -1.677998900E-001 -1.003156006E-001 7.786828518E+000 -2.824886739E-001
 -1.624784321E-001 -1.003156006E-001 7.866091728E+000 -3.172910810E-001
 -1.571569741E-001 -1.003156006E-001 7.940144539E+000 -3.425017893E-001
 -1.518355161E-001 -1.003156006E-001 8.013185501E+000 -3.610408604E-001
 -1.465140581E-001 -1.003156006E-001 8.086975098E+000 -3.790987730E-001
 -1.411926001E-001 -1.003156006E-001 8.158459663E+000 -3.933074176E-001
 -1.358711421E-001 -1.003156006E-001 8.224105835E+000 -3.996071219E-001
 -1.305496842E-001 -1.003156006E-001 8.289752960E+000 -4.059067965E-001
 -1.252282262E-001 -1.003156006E-001 8.356786728E+000 -4.107746482E-001
 -1.199067682E-001 -1.003156006E-001 8.416165352E+000 -4.091126025E-001
 -1.145853102E-001 -1.003156006E-001 8.473625183E+000 -4.057447910E-001
 -1.092638522E-001 -1.003156006E-001 8.531756401E+000 -4.014269710E-001
 -1.039423943E-001 -1.003156006E-001 8.589159012E+000 -3.971778750E-001
 -9.862093627E-002 -1.003156006E-001 8.637960434E+000 -3.877487481E-001
 -9.329947084E-002 -1.003156006E-001 8.687255859E+000 -3.773533106E-001
 -8.797801286E-002 -1.003156006E-001 8.736551285E+000 -3.669579029E-001
 -8.265655488E-002 -1.003156006E-001 8.785419464E+000 -3.562370837E-001
 -7.733509690E-002 -1.003156006E-001 8.826571465E+000 -3.422544003E-001
 -7.201363891E-002 -1.003156006E-001 8.867711067E+000 -3.283138871E-001
 -6.669218093E-002 -1.003156006E-001 8.908849716E+000 -3.143733442E-001
 -6.137072667E-002 -1.003156006E-001 8.950222969E+000 -2.996755838E-001
 -5.604926869E-002 -1.003156006E-001 8.985465050E+000 -2.834613323E-001
 -5.072781071E-002 -1.003156006E-001 9.019337654E+000 -2.670149803E-001
 -4.540634900E-002 -1.003156006E-001 9.053158760E+000 -2.508473992E-001
 -4.008489102E-002 -1.003156006E-001 9.087088585E+000 -2.340800464E-001
 -3.476343304E-002 -1.003156006E-001 9.118913651E+000 -2.171248943E-001
 -2.944197692E-002 -1.003156006E-001 9.146286011E+000 -1.997723579E-001
 -2.412051894E-002 -1.003156006E-001 9.173666954E+000 -1.822595745E-001
 -1.879905909E-002 -1.003156006E-001 9.201057434E+000 -1.645310074E-001
 -1.347760204E-002 -1.003156006E-001 9.228437424E+000 -1.470301598E-001
 -8.156144060E-003 -1.003156006E-001 9.252656937E+000 -1.296519488E-001
 -2.834685380E-003 -1.003156006E-001 9.274494171E+000 -1.123662144E-001
 2.486772602E-003 -1.003156006E-001 9.296299934E+000 -9.466819465E-002
 7.808230817E-003 -1.003156006E-001 9.318104744E+000 -7.696829736E-002
 1.312968880E-002 -1.003156006E-001 9.339936256E+000 -5.961033702E-002
