TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 4.752038002E+000 5.987412453E+000
 -2.955148816E-001 -1.003156006E-001 4.579960346E+000 5.911748409E+000
 -2.901934385E-001 -1.003156006E-001 4.425931931E+000 5.820858955E+000
 -2.848719656E-001 -1.003156006E-001 4.267547131E+000 5.724729061E+000
 -2.795505226E-001 -1.003156006E-001 4.104357243E+000 5.607765675E+000
 -2.742290497E-001 -1.003156006E-001 3.941708088E+000 5.467837811E+000
 -2.689076066E-001 -1.003156006E-001 3.770852566E+000 5.316600800E+000
 -2.635861337E-001 -1.003156006E-001 3.637605667E+000 5.160158634E+000
 -2.582646906E-001 -1.003156006E-001 3.514950275E+000 4.981207371E+000
 -2.529432178E-001 -1.003156006E-001 3.394960880E+000 4.788657665E+000
 -2.476217598E-001 -1.003156006E-001 3.274990082E+000 4.581885815E+000
 -2.423003018E-001 -1.003156006E-001 3.190504789E+000 4.373031616E+000
 -2.369788438E-001 -1.003156006E-001 3.129954576E+000 4.159085751E+000
 -2.316573858E-001 -1.003156006E-001 3.071293831E+000 3.930492401E+000
 -2.263359278E-001 -1.003156006E-001 3.029204130E+000 3.695980072E+000
 -2.210144699E-001 -1.003156006E-001 3.025715828E+000 3.478937864E+000
 -2.156930119E-001 -1.003156006E-001 3.026012421E+000 3.254372358E+000
 -2.103715539E-001 -1.003156006E-001 3.037794590E+000 3.021008253E+000
 -2.050500959E-001 -1.003156006E-001 3.081968307E+000 2.822239399E+000
 -1.997286379E-001 -1.003156006E-001 3.130258560E+000 2.618566751E+000
 -1.944071800E-001 -1.003156006E-001 3.190006018E+000 2.409567595E+000
 -1.890857220E-001 -1.003156006E-001 3.265486479E+000 2.236419678E+000
 -1.837642640E-001 -1.003156006E-001 3.353259087E+000 2.064913750E+000
 -1.784428060E-001 -1.003156006E-001 3.441384792E+000 1.891971231E+000
 -1.731213480E-001 -1.003156006E-001 3.542425156E+000 1.747115731E+000
 -1.677998900E-001 -1.003156006E-001 3.641254187E+000 1.609783888E+000
 -1.624784321E-001 -1.003156006E-001 3.747999907E+000 1.472120285E+000
 -1.571569741E-001 -1.003156006E-001 3.854061842E+000 1.355357766E+000
 -1.518355161E-001 -1.003156006E-001 3.964065790E+000 1.250735641E+000
 -1.465140581E-001 -1.003156006E-001 4.075793266E+000 1.146288872E+000
 -1.411926001E-001 -1.003156006E-001 4.186797619E+000 1.050362349E+000
 -1.358711421E-001 -1.003156006E-001 4.294740677E+000 9.726695418E-001
 -1.305496842E-001 -1.003156006E-001 4.402683258E+000 8.949767351E-001
 -1.252282262E-001 -1.003156006E-001 4.514145851E+000 8.184837699E-001
 -1.199067682E-001 -1.003156006E-001 4.618485451E+000 7.595909834E-001
 -1.145853102E-001 -1.003156006E-001 4.721106052E+000 7.051524520E-001
 -1.092638522E-001 -1.003156006E-001 4.825660229E+000 6.517067552E-001
 -1.039423943E-001 -1.003156006E-001 4.928951740E+000 5.988288522E-001
 -9.862093627E-002 -1.003156006E-001 5.022518158E+000 5.620242953E-001
 -9.329947084E-002 -1.003156006E-001 5.117765903E+000 5.263918638E-001
 -8.797801286E-002 -1.003156006E-001 5.213013649E+000 4.907594919E-001
 -8.265655488E-002 -1.003156006E-001 5.307806015E+000 4.560655951E-001
 -7.733509690E-002 -1.003156006E-001 5.392789364E+000 4.334505796E-001
 -7.201363891E-002 -1.003156006E-001 5.477726460E+000 4.107889533E-001
 -6.669218093E-002 -1.003156006E-001 5.562663078E+000 3.881273270E-001
 -6.137072667E-002 -1.003156006E-001 5.648629189E+000 3.664954007E-001
 -5.604926869E-002 -1.003156006E-001 5.725986004E+000 3.526643813E-001
 -5.072781071E-002 -1.003156006E-001 5.801346779E+000 3.403738141E-001
 -4.540634900E-002 -1.003156006E-001 5.876390934E+000 3.276863992E-001
 -4.008489102E-002 -1.003156006E-001 5.952126980E+000 3.158661723E-001
 -3.476343304E-002 -1.003156006E-001 6.024704456E+000 3.061834872E-001
 -2.944197692E-002 -1.003156006E-001 6.090660572E+000 3.009820879E-001
 -2.412051894E-002 -1.003156006E-001 6.156768322E+000 2.960204482E-001
 -1.879905909E-002 -1.003156006E-001 6.223080158E+000 2.913805544E-001
 -1.347760204E-002 -1.003156006E-001 6.289177895E+000 2.864026129E-001
 -8.156144060E-003 -1.003156006E-001 6.350351810E+000 2.840747237E-001
 -2.834685380E-003 -1.003156006E-001 6.407844543E+000 2.837282419E-001
 2.486772602E-003 -1.003156006E-001 6.465666771E+000 2.840330005E-001
 7.808230817E-003 -1.003156006E-001 6.523489475E+000 2.843396664E-001
 1.312968880E-002 -1.003156006E-001 6.581039906E+000 2.841073275E-001
 1.845114678E-002 -1.003156006E-001 6.634298801E+000 2.857221961E-001
