TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 6.144394398E+000 2.633697271E+000
 -2.955148816E-001 -1.003156006E-001 6.084773540E+000 2.549981833E+000
 -2.901934385E-001 -1.003156006E-001 6.037570953E+000 2.464354515E+000
 -2.848719656E-001 -1.003156006E-001 5.990148544E+000 2.374974728E+000
 -2.795505226E-001 -1.003156006E-001 5.944973946E+000 2.274727345E+000
 -2.742290497E-001 -1.003156006E-001 5.904971600E+000 2.164477825E+000
 -2.689076066E-001 -1.003156006E-001 5.863819122E+000 2.046439171E+000
 -2.635861337E-001 -1.003156006E-001 5.840640068E+000 1.933273435E+000
 -2.582646906E-001 -1.003156006E-001 5.828035831E+000 1.812487483E+000
 -2.529432178E-001 -1.003156006E-001 5.819404602E+000 1.686287165E+000
 -2.476217598E-001 -1.003156006E-001 5.814148903E+000 1.552525997E+000
 -2.423003018E-001 -1.003156006E-001 5.826003551E+000 1.424647689E+000
 -2.369788438E-001 -1.003156006E-001 5.851505756E+000 1.299893975E+000
 -2.316573858E-001 -1.003156006E-001 5.881182671E+000 1.168588281E+000
 -2.263359278E-001 -1.003156006E-001 5.919678211E+000 1.037048101E+000
 -2.210144699E-001 -1.003156006E-001 5.974332809E+000 9.231026173E-001
 -2.156930119E-001 -1.003156006E-001 6.032553673E+000 8.065229058E-001
 -2.103715539E-001 -1.003156006E-001 6.098067760E+000 6.880242229E-001
 -2.050500959E-001 -1.003156006E-001 6.173023701E+000 5.922529101E-001
 -1.997286379E-001 -1.003156006E-001 6.250972748E+000 4.958941936E-001
 -1.944071800E-001 -1.003156006E-001 6.336099148E+000 3.990583420E-001
 -1.890857220E-001 -1.003156006E-001 6.422134399E+000 3.231038749E-001
 -1.837642640E-001 -1.003156006E-001 6.514004707E+000 2.509673238E-001
 -1.784428060E-001 -1.003156006E-001 6.606603622E+000 1.779344976E-001
 -1.731213480E-001 -1.003156006E-001 6.700794697E+000 1.220918298E-001
 -1.677998900E-001 -1.003156006E-001 6.792595387E+000 7.046177983E-002
 -1.624784321E-001 -1.003156006E-001 6.888638020E+000 2.013020031E-002
 -1.571569741E-001 -1.003156006E-001 6.980127335E+000 -1.938873157E-002
 -1.518355161E-001 -1.003156006E-001 7.071356297E+000 -5.104820058E-002
 -1.465140581E-001 -1.003156006E-001 7.163339615E+000 -8.233764768E-002
 -1.411926001E-001 -1.003156006E-001 7.253779411E+000 -1.091674939E-001
 -1.358711421E-001 -1.003156006E-001 7.338292122E+000 -1.262313128E-001
 -1.305496842E-001 -1.003156006E-001 7.422804832E+000 -1.432951093E-001
 -1.252282262E-001 -1.003156006E-001 7.509152412E+000 -1.589062512E-001
 -1.199067682E-001 -1.003156006E-001 7.588074684E+000 -1.663039923E-001
 -1.145853102E-001 -1.003156006E-001 7.665019512E+000 -1.712699533E-001
 -1.092638522E-001 -1.003156006E-001 7.742911816E+000 -1.752579063E-001
 -1.039423943E-001 -1.003156006E-001 7.820037842E+000 -1.794202030E-001
 -9.862093627E-002 -1.003156006E-001 7.888283253E+000 -1.761008352E-001
 -9.329947084E-002 -1.003156006E-001 7.957235813E+000 -1.718296260E-001
 -8.797801286E-002 -1.003156006E-001 8.026188850E+000 -1.675584167E-001
 -8.265655488E-002 -1.003156006E-001 8.094919205E+000 -1.628917456E-001
 -7.733509690E-002 -1.003156006E-001 8.155302048E+000 -1.529156864E-001
 -7.201363891E-002 -1.003156006E-001 8.215627670E+000 -1.430524737E-001
 -6.669218093E-002 -1.003156006E-001 8.275953293E+000 -1.331892610E-001
 -6.137072667E-002 -1.003156006E-001 8.336709976E+000 -1.224813312E-001
 -5.604926869E-002 -1.003156006E-001 8.390862465E+000 -1.088625714E-001
 -5.072781071E-002 -1.003156006E-001 8.443370819E+000 -9.460154176E-002
 -4.540634900E-002 -1.003156006E-001 8.495751381E+000 -8.067820221E-002
 -4.008489102E-002 -1.003156006E-001 8.548376083E+000 -6.610797346E-002
 -3.476343304E-002 -1.003156006E-001 8.598748207E+000 -5.089533702E-002
 -2.944197692E-002 -1.003156006E-001 8.643980026E+000 -3.421745822E-002
 -2.412051894E-002 -1.003156006E-001 8.689258575E+000 -1.735503227E-002
 -1.879905909E-002 -1.003156006E-001 8.734602928E+000 -2.358860511E-004
 -1.347760204E-002 -1.003156006E-001 8.779876709E+000 1.660423540E-002
 -8.156144060E-003 -1.003156006E-001 8.821606636E+000 3.405197710E-002
 -2.834685380E-003 -1.003156006E-001 8.860486984E+000 5.198866874E-002
 2.486772602E-003 -1.003156006E-001 8.899436951E+000 7.039784640E-002
 7.808230817E-003 -1.003156006E-001 8.938388824E+000 8.881549537E-002
 1.312968880E-002 -1.003156006E-001 8.977280617E+000 1.068346351E-001
