TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 3.890178680E+000 6.168339252E+000
 -2.955148816E-001 -1.003156006E-001 3.731301308E+000 6.073696613E+000
 -2.901934385E-001 -1.003156006E-001 3.590428829E+000 5.967091560E+000
 -2.848719656E-001 -1.003156006E-001 3.446157932E+000 5.855181217E+000
 -2.795505226E-001 -1.003156006E-001 3.299330711E+000 5.723862648E+000
 -2.742290497E-001 -1.003156006E-001 3.154878139E+000 5.571835995E+000
 -2.689076066E-001 -1.003156006E-001 3.003811598E+000 5.408809662E+000
 -2.635861337E-001 -1.003156006E-001 2.887420893E+000 5.244086742E+000
 -2.582646906E-001 -1.003156006E-001 2.782348394E+000 5.059724808E+000
 -2.529432178E-001 -1.003156006E-001 2.680499077E+000 4.863228798E+000
 -2.476217598E-001 -1.003156006E-001 2.579460621E+000 4.653656483E+000
 -2.423003018E-001 -1.003156006E-001 2.511055231E+000 4.444091797E+000
 -2.369788438E-001 -1.003156006E-001 2.465112686E+000 4.230986595E+000
 -2.316573858E-001 -1.003156006E-001 2.421565056E+000 4.004478455E+000
 -2.263359278E-001 -1.003156006E-001 2.393383265E+000 3.773007154E+000
 -2.210144699E-001 -1.003156006E-001 2.400162935E+000 3.558722973E+000
 -2.156930119E-001 -1.003156006E-001 2.410749197E+000 3.337590456E+000
 -2.103715539E-001 -1.003156006E-001 2.432297230E+000 3.108641148E+000
 -2.050500959E-001 -1.003156006E-001 2.483141184E+000 2.912433624E+000
 -1.997286379E-001 -1.003156006E-001 2.537989140E+000 2.711875916E+000
 -1.944071800E-001 -1.003156006E-001 2.603722334E+000 2.506506681E+000
 -1.890857220E-001 -1.003156006E-001 2.683775425E+000 2.335006714E+000
 -1.837642640E-001 -1.003156006E-001 2.775459290E+000 2.165254354E+000
 -1.784428060E-001 -1.003156006E-001 2.867520332E+000 1.994076371E+000
 -1.731213480E-001 -1.003156006E-001 2.971821070E+000 1.849658489E+000
 -1.677998900E-001 -1.003156006E-001 3.074029684E+000 1.712517738E+000
 -1.624784321E-001 -1.003156006E-001 3.183842421E+000 1.575047970E+000
 -1.571569741E-001 -1.003156006E-001 3.292978048E+000 1.457713723E+000
 -1.518355161E-001 -1.003156006E-001 3.405944109E+000 1.352204442E+000
 -1.465140581E-001 -1.003156006E-001 3.520542383E+000 1.246869683E+000
 -1.411926001E-001 -1.003156006E-001 3.634597778E+000 1.149754763E+000
 -1.358711421E-001 -1.003156006E-001 3.745769739E+000 1.070414066E+000
 -1.305496842E-001 -1.003156006E-001 3.856941938E+000 9.910733104E-001
 -1.252282262E-001 -1.003156006E-001 3.971562624E+000 9.128674269E-001
 -1.199067682E-001 -1.003156006E-001 4.079412460E+000 8.519788980E-001
 -1.145853102E-001 -1.003156006E-001 4.185631752E+000 7.955318093E-001
 -1.092638522E-001 -1.003156006E-001 4.293772697E+000 7.400398850E-001
 -1.039423943E-001 -1.003156006E-001 4.400673389E+000 6.850836277E-001
 -9.862093627E-002 -1.003156006E-001 4.498169899E+000 6.461914778E-001
 -9.329947084E-002 -1.003156006E-001 4.597342491E+000 6.084307432E-001
 -8.797801286E-002 -1.003156006E-001 4.696515083E+000 5.706700087E-001
 -8.265655488E-002 -1.003156006E-001 4.795281410E+000 5.338305235E-001
 -7.733509690E-002 -1.003156006E-001 4.884470940E+000 5.092045665E-001
 -7.201363891E-002 -1.003156006E-001 4.973603725E+000 4.845236242E-001
 -6.669218093E-002 -1.003156006E-001 5.062736034E+000 4.598426521E-001
 -6.137072667E-002 -1.003156006E-001 5.152919769E+000 4.361723065E-001
 -5.604926869E-002 -1.003156006E-001 5.234676838E+000 4.204780161E-001
 -5.072781071E-002 -1.003156006E-001 5.314456463E+000 4.063918293E-001
 -4.540634900E-002 -1.003156006E-001 5.393904686E+000 3.919100463E-001
 -4.008489102E-002 -1.003156006E-001 5.474067688E+000 3.782809973E-001
 -3.476343304E-002 -1.003156006E-001 5.551116467E+000 3.668749928E-001
 -2.944197692E-002 -1.003156006E-001 5.621579170E+000 3.601697385E-001
 -2.412051894E-002 -1.003156006E-001 5.692203045E+000 3.537031114E-001
 -1.879905909E-002 -1.003156006E-001 5.763043880E+000 3.475583494E-001
 -1.347760204E-002 -1.003156006E-001 5.833655834E+000 3.410743177E-001
 -8.156144060E-003 -1.003156006E-001 5.899368286E+000 3.374019265E-001
 -2.834685380E-003 -1.003156006E-001 5.961390972E+000 3.358471990E-001
 2.486772602E-003 -1.003156006E-001 6.023767948E+000 3.349420428E-001
 7.808230817E-003 -1.003156006E-001 6.086146355E+000 3.340394497E-001
 1.312968880E-002 -1.003156006E-001 6.148231030E+000 3.325986862E-001
 1.845114678E-002 -1.003156006E-001 6.206015587E+000 3.331701159E-001
